Review Title,Review Description,Review Rating,Month of Stay:,Type of Trip:,No. of contributions from reviewer:,No. of helpful votes on review:
"Looks cool, however, after staying there, I would not recommend it.","The hotel itself is very cool. The robots were an unusual touch, and getting room service from there was a unique experience. The novelty does wear off after a while though. The location was great, the room was sparkling clean. However  there were a few things because of which I would not recommend it - the bed was too soft and too small (even though we are definitely average sized, or could even be considered small), the aircon was kind of confusing to reach an optimum level. All this affected the quality of our sleep. And moreover, the view for which there is a premium is from a bathroom which cannot stay open if you want to use it (public nudity is a punishable offence in Singapore and it is considered public nudity if you can be seen nude from a window). I would still…",30,Dec-19,Undisclosed,1,2
Trendy and modern,"Like the style of this hotel. It’s trendy, stylish and easy. Quick self check-in/out. But, the rooms are petite! I had a double room for two persons, but don’t think me and my boyfriend would have been comfortable there. We would walk on top of each other. Perfect for 1 person. Great location.  The service of the staff was a little dull, I at least expect a smile back when I smile and and ask for information or help. But they managed to answer what I was looking for. ",40,Jan-20,Undisclosed,61,64
Yotel,Great location value for money but room quite small had an issue with the bed comfort. The robot service was great very efficient. Excellent location close to orchard road nearby all shopping malls ****,40,Dec-19,Undisclosed,1,2
All good except.... ,"Everything was good since I checked in. Breakfast was good, location very good.   Cons: 1. the room was quite small. Too small. For a double premium room felt like sleep at the single bed room. This room is for 3 people, it means 3 luggages minimum. Well I brought 2 luggages and already made us difficult to move.  2. Toilet with no jet washer?  ",40,Dec-19,Undisclosed,141,63
Amazing concept,1st time at Yotel. The room is pretty small but does well in the job. The view is nice and it is a bit weird as you will see it at the WC. The breakfast was ok by the pool. But we did not take a swim as it is cold,50,Dec-19,Undisclosed,4,13
Christmas in SG,A cool hotel that room service is via robot. Compact room. Bathroom has no bidet. Can leave the luggage in the lobby if you have a late flight  Self check in and out which is so convenient.  Unlimited supply of water without extra charge. Bed is adjustable (like hospital bed),40,Dec-19,Undisclosed,1,2
"Pleasantly surprised, better than expected!","We (a couple) stayed here for 1 night, as my BF's flight left at 1 am, and mine the next day at 1:30 pm. Room 214, Dec 28, 2019. Hotels dot com confirmation 9205381821601.  I was expecting a more capsule hotel like experience, where you are not really closed off from other guests, and you have more of a reclining lounger rather than a flat bed. I had an experience on a layover in Abu Dhabi in such a capsule hotel, it was nice to be able to partially lie down, but still it was not totally relaxing hehe. So that was what I was expecting.  This is a real room all to oneself, closed door, bathroom, shower, full flat COMFORTABLE bed for 2 people. It's not huge, so don't expect that. But it was impeccably clean, quiet, and well-located for access to all terminals. All you need really…",50,Dec-19,Undisclosed,54,175
very convenient location,Room absolutely too small. No place to put luggage and or dresses. I can recommend only for a very short stay one night maximum. the location is excellent the price is no too high. But the room was not sufficient for two people  ,30,Dec-19,Undisclosed,4,14
Great location with a modern twist ,"Upon arriving to Singapore we took a taxi straight to the hotel and the driver seemed to know exactly where was the place.  We got there in around 45mins.   Lobby was clean, not massive but impressive with  computers on a side and sofas on the next and also a currency exchange machine. And to top it all two robots programmed to deliver water and fresh towels. Cute!   It's a self check-in hotel which took us a bit by surprise as we were unsure of what to do but there is always staff present to help you go through the process.   Room is smallish, literally a cube! Inside there are the basic as a safe, shower, tv etc.  The bed is pretty cool as you can adjust the position to your comfort level.   One little downside was that the room was a bit small and so if you have a large…",40,Nov-18,Undisclosed,21,33
Perfect Location and Great Deals,"We stayed here before christmas and for all the great name hotels arround orchard this one have the best rate, clean rooms even its not a big room but bunk bed for kids are quite fun. Breakfast was nothing special. If you have more budget rather than spending in 5 stars hotels arround orchard you should try the bigger room with balcony.  Overall it worth every penny.",50,Dec-19,Undisclosed,2,5
Small room but cozy,"Once we stepped in the room, we felt rather cramp because the room is very small.  But the bed is very comfortable.  The pillow is soft and the moment you land your head on the pillow, you feel like sleeping right away.",50,Dec-19,Undisclosed,26,44
"Good location, good service and good hotel staff","I stay for three days in this hotel, my experience was perfect. Easy to find this hotel, and i like robots Yossi and Yolanda, very helpful and fun. Hotel staff very helpful and very kind, room clean and bed very comfort for sleep.",40,Dec-19,Undisclosed,6,10
Good choice of hotel in town with reasonable price,It is located in the heart of Orchard Road near Orchard MRT station. Next to it is Shaw House where there is a Lido cinema. Shopping in Orchard is within reach.  However you might have a little trouble locating the hotel. Just follow google and there is sign on the main road to lead you there.,50,Dec-19,Undisclosed,36,39
Clean hotel and good location but very small room,"As soon as we stepped in the room we felt like we were in a prison cell. Very small room. Our room was supposed to be with a view but the view we had wasn't like the photo. We stayed on 21st floor.  For some reason I could smell urine whenever our room was cleaned. I wonder that's because they cleaned the room with the cleaning equipment which was also used to clean the bathroom. However it appeared the housekeeping team did a good job. Mind you though, your bed sheet will be changed on the 4th day.  Overall it was a value for money hotel in Orchard road but I'll stay somewhere else next time mainly because it is too small sized room.  ",40,Dec-19,Undisclosed,1,2
Strategic location and clean hotel,"1st step in YOTEL, the staff come to help on computer register with patiently. Good manner. After check in, we enter room. The room look neat and clean. Although the room are small, but it is good with this kind price at Orchard Road. When night or day time, we realise the sound proof are bad. I can hear people chit chat at corridor. Just walk out, we are at Shaw Centre. We can shopping, eat and drink. While we also can reach mrt Station with 5min underground walk. Also all the shopping mall in Orchard, we can access them easily. 1more thing to add up, the view from toilet are stunning. We can have city view from toilet with big window. ",40,Dec-19,Undisclosed,122,58
Yotel Orchard Stay,"Stayed here for 3 nights just before Christmas. Picked the hotel based on the location. Didnt go for the hotel breakfast with breakfast available nearby at Food Republic inside Shaw house. Ya, would come back.",40,Dec-19,Undisclosed,37,12
Minimalist & Small Room,"Minimalist & Small Room but very comfortable for us. Enjoy the bed, good location,also room very clean. I recomended to try this hotel. Will become our altenative hotel in next trip at Orchard area. Worth it to stay and enjoy cool experience... 😜",50,Dec-19,Undisclosed,5,5
Hidden Gem in Orchard,"If you're looking for pocket friendly hotel in Orchard area, Yotel is a hotel to go for. It has just everything you need. The best thing I love about this hotel is that we can have free flow of water bottle. Regarding the location, it's strategic,l but please note that you have to take a bit of walk (via underpass) to reach the hotel. Other than that, everything is great.",50,Dec-19,Undisclosed,1,2
Better than a four star,"Highly recommend.. Good  value, location, clean. 30 seconds from Orchard yet quiet! The service team leave nothing to chance from Housekeeping to bar service. I even by chance had the pleasure of meeting the GM and this could tell what the hotel team are great at there jobs.",50,Dec-19,Undisclosed,4,9
Fun service by robots!,"Location is great, we went for medical check up at Mt. Elizabeth hospital, it's only 5 mins walk from the hotel. All staffs are friendly and helpful. Robots are fun and unique, we enjoyed our stay and will return soon.",50,Dec-19,Undisclosed,25,39
a cool stay at Yotel Singapore,chic and modern. overall good and courteous staff. I liked it's uniqueness with the robot and robot omelette maker. Location is great and breakfast was very good. Will of course stay in this hotel when we travel to Singapore again!!!!!!,50,Dec-19,Undisclosed,3,6
"Great location, good for quick travel!","Excellent hotel, great locations, the rooms are not that big so if you are traveling with little luggage is perfect. We were six and coming from a 17 day cruise ship so we had 6 large luggage, it was complicated to fit into the rooms with such a load..",50,Dec-19,Undisclosed,1,2
"Modern, cool hotel ","Yotel is next to Orchard MRT. First time travelers may find it difficult to locate the hotel from the station. Just look for Shaw Building. It is next to it. The staff are friendly and helpful. Rooms are modern, cool and has personality but small. Two guests with 2 large luggage bags will find it difficult to walk around the room. Orchard road is next to Yotel. It has everything you require: restaurant, bar, pool and gym. If you are bringing kids, get them to call mission control (reception) for water or extra bottles. They’ll get a surprise at who shows up at the door!",40,Dec-19,Undisclosed,17,20
Unique Hotel,"We love to stayed at this hotel and this hotel very unique, Location are strategis nearest with Orchard road. Restaurant for the breakfast so awesome with modern style. Food is good and facilities in this hotel all is perfect. Including Yolanda and Yoshi making us so happy with sending our requested smart robot. The minus one from this hotel is, space of room very small and standart and also they have deposite for the room to much need to drop your money 200S$. But the rest is oke. Nice and recomanded for staying in this hotel if you like to close with Orchard road.",40,Dec-19,Undisclosed,133,47
Love and Comfort Small Hotel in Tower,"We love the Yotel hotel robot service, good service, very small room, very clean room but the bed very comfort to sleep, local was good near orchard road, we love the hotel easy to access to shopping. ",50,Dec-19,Undisclosed,7,8
Amazing!,Breakfast was delicious. Room was very nice with view. Everyday new slipper and toothbrush and unlimited bottled water. They have everything you need in a hotel. Definitely go back again. Just so sad not to experience the delivery robot right thru my door.,50,Dec-19,Undisclosed,3,6
Comfort hotel,"This is the second time I stayed here. Miss to meet Yolanda and Yoshi ha ha ha, cool robots. Really love the view of our room in 30th floor (room 3017). I got many photos of sunrise from the terrace. Will be back. ",50,Dec-19,Undisclosed,440,81
pleasant stay,"room was small and compact but well planned!  Had a very comfortable sleep. Room was clean and wifi was excellent!  great TV channels too! Elevator was fast and room service via the robots was efficient.  gym and pool was small.  will recommend to small families , and try other yotel brances too!",40,Dec-19,Undisclosed,1,2
Tiny room,"have never seen a hotel room that's so small ! - booked a 'premium queen view' room - and it's the bathroom/toilet that has a view ! - met a staff at the corridor and asked her about the 'view' rooms - was told all rooms the same ! so there's really no need to pay extra for a 'view' room. - The sink is near the bed (not in the bathroom area), there's some kind of light on the wall (cannot see the light bulb), could not find any switch to turn off the light, called reception who said will send an 'engineer' up to turn it off,  no one came !!  ",30,Dec-19,Undisclosed,1,2
Comfortable,"We had a comfortable stay in central location. No problems, except that the fire alarm went off during one night of our stay. The problem was that the message provided via the intercom, was not clear, it was only when we went to the fire escape could we understand what was being said.  Also the information on the back of the hotel room door was not the same as on the intercom. We also were waiting for the floor marshals as indicated on the information on the back of the room door. Nobody arrived. This may later become  major safety issue. ",40,Dec-19,Undisclosed,1,2
Generally good stay,"The bed is comfy.  Basically, the hotel employed technology to service its customers. The robots are the main attraction.  The description of rooms could be more specified, as we expected to be given rooms with Orchard Road view when we selected and paid a higher price for city view rooms.",30,Dec-19,Undisclosed,3,6
Great location,"Great location, about 5 mins walk to Orchard MRT station. Plenty of good food options close by as well as shopping centres. Check in and check out processes were fast and fuss free. Staff were polite and helpful. Rooms were kept clean and facilities were modern. ",50,Dec-19,Undisclosed,55,49
Holiday,"Very nice hotel, near shopping district, the room is comfort and clean, location is very strategic in orchard road, easy to find and near bus stop. Really enjoy the hotel with my family. Bathroom also clea",50,Dec-19,Undisclosed,1,2
6 days in the clouds!,"I stayed for 6 days on business which was definitely enough time to spend in this place - any longer and I would need more space. In summary: good hotel, well located, bit funky, SMALL rooms, good facilities, interesting bathroom :)",40,Nov-19,Undisclosed,6,15
Stopover Singapore,"we stayed here for 2 days as a stopover from Bali holidays on our way home to CA.  The hotel is a great location with a very young, helpful and friendly staff.  It provided the breakfast with our booking.  Food selection was OK but the freshly made fruits drink were my favorite.  The room is very small but very clean and well organized.  We would recommend this hotel if you are a couple with no kids since the room is very small.",40,Dec-19,Undisclosed,7,16
Yo!  Cool Hotel,The coolest Things about Yotel! * It's got 'Yo' in the name * The view from the toilet is breathtaking * Cool colour scheme in room * Has the coolest elevator music I've heard (by far) * Has cool robots 'Yolanda' and 'Yoshi' that wonder around * Cool location on Singapore's main shopping road * There's already an iron in the room * There's an automated touchscreen check-in * Internet speed is good  Not so cool things * The pedestrian entrance is a bit weird with narrow outdoor staircase & a dark forecourt * The check-in isn't completely automated requiring someone to come along to finish the process off,40,Dec-19,Undisclosed,132,106
A+ Clean & Great Location,We will keep this short and simple  Great Location  Great Service  Clean Clean Clean   The lobby is small and I have read many reviews bashing the small Lobby But thats no worries at all You are not sleeping in the lobby   The Customer Support any given day any time was Fantastic ~ Way to go Management ~~   We booked 4 Rooms all different kinds One with the bunk and 3 Without the bunk and all of the rooms were spotless ~  Def will return,40,Nov-19,Undisclosed,51,43
Vacation with Family,Strategic location with nearby shopping malls and easy accessible to MRT. Room are small but neat and clean. Bed is very very soft and i did not have a good sleep due to body aches. Will definitely recommend to my family and friends.,50,Dec-19,Undisclosed,1,2
Great,"Great hotel. Sure to be back here. And to refer and recommend the hotel to my friends, relatives, colleagues and family. I hope next time more non pork choices during breakfast. Bigger discounts please",40,Dec-19,Undisclosed,1,2
"Great hotel, central location",Travelled with 6year old and 4 year old and bunk was big enough for them to sleep too and tail. Room was small but functional for what we needed.  Staff friendly and the robots were a hit! Breakfast was lots of options and the pool and terrace has a shallow end for the kids to splash in!,50,Dec-19,Undisclosed,1,2
Great hotel,"We were very pleased with the location, staff friendliness, breakfast and the quality of the rooms. Extra benefit was the free water and wifi. The whole facility was very clean. Would definitely stay here again. ",50,Nov-19,Undisclosed,2,4
Was good,"Almost was good including staff, breakfast, location. But small room is ONLY flaw to this hotel. For couples it will be best choice. If you have a plan to travel alone also it will be best option in SING. ",40,Dec-19,Undisclosed,1,2
Nice Hotel,Hotel is very clean and location are great in the shopping area of Orchard Rood. Very easy to get around. The staff are friendly and willing t help. We checked in on the 30th floor and had a fantastic view of the city.,50,Dec-19,Undisclosed,1,2
Ok,"1 of good hotel, which can accomodate 3 persons in 1 room, with 1 queen bed & 1 single bed, so recommend for 3 persons, but don't expect anything else. Provided full amnesties, everything simple on that room, which is good actually",30,Dec-19,Undisclosed,7,15
Good quality rooms in excellent location,"Good hotel, very well located right on Orchard Road. Close to cafes, restaurants, shopping centres and public transportation. The rooms were very cool and comfy and the amenities were good quality. Unfortunately, one of the two robots wasn't working and the other had recurring issues so we didn't get to have anything delivered by them. We did get omelettes made by a robot/robot had at breakfast though, which was really cool. Overall, recommended.",40,Dec-19,Undisclosed,71,53
Short stay,The room are clean and tidy. Hotel location are strategy suitable for short stay and for those enjoy shopping. cotton bud and shower cap are not provided in the room. Their breakfast not much of variety. ,30,Dec-19,Undisclosed,1,2
Great experience of staying,Friendly Staff with very effective time of help. The hotel looks so trendy and attractive. The location is also very convinient with lots of variety of restaurants and shops. You will get everything you want here.,40,Dec-19,Undisclosed,1,2
Bad experience in SG,"1.My necklace put on the desk was stolen. When I reported, the hotel didn’t do anything effectively, except telling me to call police. 2. Curtain string was not working, but none repaired it. It impact my quality of sleep.",10,Dec-19,Undisclosed,1,2
Liftoff inside a Yotel Cabin - Two thumbs up,"I was a major skeptic at first of their very small rooms compared to the ones being offered. For the sake of staying together with friends, I obliged.  And needless to say, I was not disappointed.  Don't get me wrong, the room is still small.  But it was very well designed and I did not feel cramped at all except for the fact that I cannot spread out my extra large luggage.  But since I was alone I can lay it out where I wanted.  Room was very well designed.  If only I was an exhibitionist I would have taken advantage of the floor to ceiling windows on your bathroom while you do your business.  Yes it is a compact cabin but very functional.  Very fast internet as well.  Overall I was impressed.  Could have used an extra 2 to 3 square meters.  But I couldn't complain.  Staff were…",50,Dec-19,Undisclosed,3,2
Awesome stay and more than your money's worth,"Yotel Singapore is a great place to stay for during a vacation or business trip. I've done both :) Great value for money and great staff. Rooms are comfy and clean. Rooms are small, but still very comfortable. ",50,Nov-19,Undisclosed,13,5
Love the Adjustable Bed and the Robotic Room Service,"We love the adjustable bed so much! The room set up is compact but with all the necessity. Robotic room service with simple delivery of water & towel was a cool experience! other value-added options are ""skip house-keeping"" to save was a cool promotion!",50,Dec-19,Undisclosed,2,4
"Clean, convenient, complete","Don't expect the rooms to be spacious but within the room, you will have everything you need.   The beds are comfortable and the bed is movable, you can tilt it up to sitting position. All the space within the room is efficiently used and they even give you an umbrella you can borrow just in case it rains.   It is very conveniently located. It is just across Orchard and walking distance to the nearest train station.   Check in and check out is a fast and easy affair.   Will definitely choose this again as my hotel in my next trip.",50,Dec-19,Undisclosed,574,114
Compact,"Nice location , Orchard Road ,nice shopping and restaurants. High end restaurants to nice food courts for economy meals , yummy tough . So many stalls to choose from .   My opinion , the rooms of Yotel are suitable for couples but not family with young children . It is a “ pod” room ( cubicle like ) Like check in , drop bags off then off for sight seeing or shopping etc . Back to room to sleep and that is it . Not a big room to enjoy the room facilities and space . The rooms here are pretty basic but good quality interiors.   We took a room on the high floors . Floor 29. The view is from the bathroom.Imagine the room , open  the bathroom door and there   is the beautiful view of Singapore skylines .  Wish I took some photos of the room when I checked in . Now my room is messy ! …",30,Dec-19,Undisclosed,51,59
Singapore Stay,I like the room even if its small. very comfortable room. the staff are very hospitable and helpful. The location is very accessible to all the restaurant and other tourist attractions. The price is reasonable. ,50,Nov-19,Undisclosed,1,2
Great!,"You have to experience yourself.  Yet the room is so compact. If you expect big room, this is not your choice. Still everything is nice and very efficient. It is near mrt station too and other nice places to walk around. ",50,Dec-19,Undisclosed,5,10
Hotel in Orchard with good value,The hotel in at the center or SG’s shopping area.. Orchard rd. Got Nice minimalist room with full amenities. Bathroom with a view.. (beware of the peepers =P). We stayed for a night and got a good rest after a concert! PS. nice bed! ,50,Dec-19,Undisclosed,65,48
Not a good premises for holidaying family,I would not recommend Yotel as good place for holidaying family who wants a mix of rest and relaxation. This hotel and more targeted at business people travelling on their own. It is a little too impersonal for my liking. I have stayed in better places in Singapore. ,10,Nov-19,Undisclosed,1,2
Great Stay,"It was a pleasant stay with my wife and kid. We didn't spend a lots of time in the room, but the room is just about perfect for us. The environment of the hotel is great and the staffs always pleasant and cheerful.",40,Nov-19,Undisclosed,2,8
Value for money $$$,"if you are looking for a superb hotel with good value for money and near to Orchard road, then dont think further; just click BOOK for Yotel. The room is clean with a nice view in bathroom. They do provide towels, slippers, umbrella, hair dryer, iron and board, toothbrush and best part is the fridge is empty so you may buy as much drinks as you like and store them in the fridge.  The hotel breakfast is good except that they guy at restaurant cashier is bit cocky, everyone else there is nice. And the chef even explain to us how he make good omelette :)  There's this 24hr TCC cafe nearby the hotel if you are looking for nice cakes, coffee and yes they do server alcohol too at affordable price  Walking distance to all the mall at orchard road, orchard mrt and bus station",40,Nov-19,Undisclosed,26,38
Nice view,It was very amazing place with full of technology. Everything is controlled by technology. Hygiene is also very good. I hope I can go back to use hotel service again for next year. I would tell to other people ,40,Nov-19,Undisclosed,1,2
No so bad,"The room is Cool and clean but very narrow... Staff is very nice and helpful. The location is nice for sightseeing and business. Almost points is evaluated except for the size of the room, which should be over 20 square meter at least.",40,Nov-19,Undisclosed,1,2
Can’t fault it,"Great service, bedroom, shower, bed, service, breakfast and price.  Location is excellent for orchard road.  If needing anywhere further use mrt or grab (uber for Singapore).  One tip don’t go to IMM mall that the tv channel for advertisements recommends, it’s dreadful  Paragon or ion orchard (both walking distance from hotel are good)",50,Nov-19,Undisclosed,45,61
"Good hotel, good staff","The location is great, staff is very friendly, the room is bit small (maybe bc there were only two of us) but it looked very modern on the inside, every spare space in the room is well used, very organized. The bed is comfy the the two robots are cute.",50,Nov-19,Undisclosed,2,4
John Sarbinowski - Excellent stay,"This is the second time I've stayed at Yotel Singapore and, as last time, I found it very pleasant and relaxing. Cabins are clean with all amenities first class. I only had breakfast during my stay but found the food, ambience and selection to be excellent. Staff at reception and restaurant were polite and friendly. Well done Yotel.",50,Nov-19,Undisclosed,1,2
Can't beat the location,"We stayed 4 nights on the top floor with a small balcony. While the room was indeed a small ""cabin"" we really didn't spend much time and were out on Orchard Road and sightseeing. There is a serious high tech vibe with a robot omelette maker in the dining area and two robots that deliver room request items. People lined up to video the robot chef as it turned out nearly perfect omelettes every time.",50,Nov-19,Undisclosed,349,265
Singapore stop,"Pleasantly surprised at efficient friendly service, after no Valet or Bellhops appeared.  Special request, not a problem.  Room very clean. Had to pull blinds to use toilet, since toilet & shower were infront of the ceiling to floor windows.",50,Oct-19,Undisclosed,8,4
Fantastic ,"Amazing hotel for the price. Great location. Friendly staff who were very helpful. Room was small but we knew this before we went, this was why the room was cheaper in price. Fantastic review too! Close to the mrt and easy to get around. ",50,Nov-19,Undisclosed,110,71
"Good location, small room but equipped accordingly!","Small but modern room with automated inclining comfortable bed. In lobby has two robot which provide water bottle. Even located on Orchard but it is quite hard to find, the sign is tiny. Check in staff is friendly and informative but when i check out, another staff seem like very tired when she returned my room deposit.",40,Nov-19,Undisclosed,91,38
Good bravo,"Just keep it up Better than many many of those so called 5 stars that self claiming self shiok only la.... Like the ones on that island.... Lousy amenities, pool jacuzzi pipe un cut off posting danger & lousy",40,Nov-19,Undisclosed,1,2
30th wedding anniversary holiday,"The hotel and service was lovely. Everything is near by and staff are very friendly.metro and buses very nearby,  all shops, malls Restaurants all walking distance , yotel is a very well know hotel in Singapore with it's  new and moden design of the compact rooms ",40,Nov-19,Undisclosed,2,5
Spectacular,This was a great hotel and best experience. Will definitely stay there again. The staff was friendly and helpfull. The location was perfect and save. The hotel was easy to find and easy accessible. Currency exchange at hotel very helpful ,50,Nov-19,Undisclosed,1,2
Not again,Stayed over for one night at the Yotel.   The room was interesting with a 'couch' that converts into proper bed. The room is very small.  But my big issues was that you could hear water flowing many times at night. I assumed the water discharge pipes was very close to me somewhere built into a wall.,10,Nov-19,Undisclosed,503,71
Compact and practical ,"You can’t get better room in orchard with this price. Yes it’s small , yes they have no room service ( I don’t know whether it’s permanent or not, but I called and the lady who answered said sorry no room service) , yes they located in the end of orchard road BUT although the room is small , it’s equipped with everything that you need, shops and cafes are in walking distance, bus stop just in front of the building, very easy check in and out.  I highly recommend the hotel for solo traveler or couples because there’s no room for children , maybe ask for their suite if you’re travelling with children.",40,Nov-19,Undisclosed,475,173
A nice compact hotel for who love to be around orchard,"This hotel has a nice location nearest mall is whellock place or shaw. In shaw basement already has many food options for you to choose. The room is enough for two, a little hassle if you bring big luggage. The bed is comfy, the room is quiet but if there is people on the hall you will slightly hear them. Bathroom is okay, pack with amenities you need. So yeah this hotel is so nice, for the money too.",40,Nov-19,Undisclosed,2,4
Short stay,"Great location for a short stay in Singapore. Convenient shopping and access to MRT. Room is adequate with a comfortable bed, adequate lighting, and soundproofing.  I liked the distinctive color scheme.",50,Nov-19,Undisclosed,1,2
a very descent stay with reasonable price,"The premium queen room that i stayed in, was absolutely clean, this hotel definitely has the best record in cleanliness and service. i have stayed in this lovely hotel twice in my previous visits to singapore and will definitely go back again for the third time. The location is absolutely in the inner city which is really close to malls, restaurents and cafe. My only complain is that the room is rather too small in comparision to other hotels that i have stayed in. Other than that this hotel is perfect.",40,Oct-19,Undisclosed,17,11
"Very hip, modern and practical","Very strategically located with hip vibes. Comfortable bed, fluffy pillows and wonderful bedsheet as well as the comforter.  But not very suitable with travelers with big luggage since the room size is pretty small.  Still a recommended hotel to stay ",40,Mar-19,Undisclosed,27,54
My children 1st option Hotel in Spore.. BUT Disappointing for the ROBOT,"its my 2nd time visit to YOTEL Singapore and we booked the bunk bed. KIDS loved it... my chlidren were very excited because they gonna meet Yoshi & Yolanda again.. BUT they were very sad that the ROBOT NOT WORKING (had some issue) while we were staying (from 16 Nov to 19 Nov ).. My 3 children were very very sad.. I hope YOtel will give us some discount for our next visit.. if you family with young children traveler like us, you better check the hotel first to make sure the ROBOT working well.. ",40,Nov-19,Undisclosed,4,3
Value for money,Location is at the heart of Orchard. Walking distance to Orchard MRT station.  Service staff are very friendly and helpful. Gym & Pool facility are available as well. Highly recommend for couples for a short staycation!  ,50,Nov-19,Undisclosed,1,2
"Minuscule in size, but mightily impressive.","If room size is not a major concern, you'd want to check out (and check in at) Yotel. I loved how neat and modern my room was, and the location - being in the heart of Orchard Road - was fantastic for the foodies and shopaholics in my wife and I.",40,Nov-19,Undisclosed,8,12
"Great location, comfortable and clean room","Can't say how pleased we were with our stay at YOTEL Singapore. Really clean and comfortable room with stunning floor to ceiling view of the city outside. We were facing Orchard Road and it was cool to see the bustle of one of Singapore's busiest streets. The robots are also a unique feature that we haven't experienced before.   Location is great as you're right on Orchard Road for shopping and restaurants. It's also less than a minutes walk to the closest MRT (Orchard) through the Ion Mall.   We stayed for 10 nights and the hotel provided free drinks at their Komyuniti bar on our tenth night as a thank you for staying with them which was a nice touch. Everyone we dealt with for check in/out, recommendations and booking taxi's was very friendly and helpful.",50,Nov-19,Undisclosed,34,46
"Kool, Clean and Comfy","Nice hotel and excellent place for shoppers along Orchard Road. It's located away from the old style areas by Chimes, Raffles, Fullerton, Clark and Boat Quay. But overall a nice place to stay for a single and couple. ",50,Nov-19,Undisclosed,5,5
Great novel Hotel Experience,Checked in late for one night on way through. Had read about brand and was curious.  Room is very small but very well designed and appointed. Has all amenities and appointments. Bed super comfy and with automated inclining is great for sitting up. Linen throughout great. Pillow choice. Shower ample big enough with great soaps and view or windos for exhibition. Gold. Breakfast was also very good with ample choices. Location is so central with an elevator ride off to side of lobby to Orchid Rd. Prrfect and will return many times and explore more properties in the chain. Thank you.,50,Nov-19,Undisclosed,152,110
Strongly recommend this place for stay,"Cleanliness, Tidy with excellence staying experience. You will gain more wonderful service and the location near by MRT Orchard. Their staffs is very helpful and be trust. If you are goin to SG, this place is the best for your stay.",50,Nov-19,Undisclosed,6,7
Average Stay,Following our recent stay at Yotel Singapore I can say the experience was very average. Pros of the hotel are that you get the room made up everyday and bottles of water also. Given the hotel is relatively inexpensive it is nice to see these basics taken care of. The negatives of the hotel are the rooms struggling to get cold the aircon has a lowest temperature of 21c and cannot be turned lower. The staff also could have been more helpful at times rather than the stand off approach they decided to take on the occasions they were needed. Overall the hotel is in a good location and if you are looking purely for a bed for the night it would suffice otherwise there are nicer hotels in the area within the same budget ,30,Nov-19,Undisclosed,19,43
good price and great location,"good location on orchard rd and near to MRT station and shops. Rooms a bit small but very clean and bright also did not hear any noise from the rooms next door or on the corridor ,breakfast average  Front desk staff very helpful and polite , would stay there again ",40,Nov-19,Undisclosed,5,11
Horrible experince but great location!!!,An absolutely horrible experience. We had fully paid for a room for five nights which they gave away to someone else as we were late to check in. The pushed us into a room category that was not what we had paid for and they did this without informing us. When I took it up with them all they did was make excuses and told lies that they had informed us.  All in all a horrible expericence. Would not wish it on my worst enemy.,10,Nov-19,Undisclosed,61,50
Fantastic Place to Stay,"We stayed 4 days here. Check in was quick and this was at 10:30am. They had a room ready. The rooms are very unique, we had a small room with a bunk bed, small but very serviceable. They have robots that take care of room service. The breakfast was very good. The restaurant is on the 10 floor. Yotel is a quarter block off Orchard Road, with a very big mall 5 min walk from the hotel.with lots of cafe, restaurant and coffee shop in are around the area.The hop-on hop-off stop is 2 min walk in either direction, Cannot say enough good thing about the staff or this hotel. If you need a car are taxi to the A/P, Universal studios or around Singapore just ask the staff at the front desk they can get you the best deal in transport. A Very Unique Place with a EXCEPTIONAL STAFF",50,Nov-19,Undisclosed,402,117
Good location on Orchard Road,The hotel has a good location on Orchard Road and not far from the Metro Station.  Room was small but practical and clean. It was fun to have a robot service with Yoshi and Yolanda.  Great to have daily free bottled water. Nice selection at breakfast including a nice bbq bun.,40,Dec-18,Undisclosed,1100,117
Second stay at a Yotel,"This was my second stay at a Yotel hotel. It met my expectations - clean room, good shower and lovely staff. I really enjoyed the complimentary breakfast, especially the made to order omelette. While I will continue to stay at Yotel hotels in other countries I won't be returning to Singapore purely because the climate and I do not mesh!",50,Sep-19,Undisclosed,5,10
"Nice hotel, best location",Room is very small but clean  Right at the heart of Orchard Road. Very near the Orchard MRT.  Staffs are very helpful and nice. They have two cute robots. Maybe i will book this hotel again next time i back to Singapore. ,40,Nov-19,Undisclosed,1,2
Value for money,The Location of this hotel is very convenient for tourists who wants to shop around Orchard Road. It is very accessible to malls around the vicinity although the rooms are quite small in terms of floor area but very clean.,40,Nov-19,Undisclosed,1,2
Very modern and stylish Hotel with good connections,"Rooms are really nice, young and modern. The Bed was incredible!! Size of the room was a little bit small for 2 people, if you stay longer then 2-3 days Perfect connections due to Orchard MRT & bus stops  Breakfast is ok but for European taste the selection of food is slightly more limited.",40,Nov-19,Undisclosed,1,2
Very prime location hotel in Orchard Road Singapore,"The hotel location is very prime, at the center of Orchard Road shopping district. The hotel cabin is very comfortable with 5 star facilities despite the tiny space. The bed is very comfortable and clean. ",50,Nov-19,Undisclosed,28,28
Good,"It was very pretty and clean. The bed was comfortable to sleep on. However, the pathway to walk was a little too small. Besides that, the toilet had a frosted glass which allowed a view of the shower in the room. ",40,Nov-19,Undisclosed,3,2
