Review Title,Review Description,Review Rating,Month of Stay:,Type of Trip:,No. of contributions from reviewer:,No. of helpful votes on review:
Amazing place,"Location was good, amazing dining area and good staff handling and service.We went there for a luncheon and the food was great, staff was friendly and didn't need much to garner attention or whatsoever. Good directions on where to go and find things. Recommended.",50,Feb-20,Undisclosed,2,4
Bad value for money,"Staff very friendly it is a shame about the facilities. The food at breakfast was cold , cereals badly kept, coffee stopped working and the seating area inadequate. The deposit system at reception was archaic and not very efficient.",20,Feb-20,Undisclosed,3,5
Cool hotel in good location,"Rooms are small but has a nice touch - and for a biz traveller, the necessary things such as a working desk and good connection wifi.  And location is fine.  Price was very competitive. I will come back on next visit.",40,Feb-20,Undisclosed,1,2
Valentine's Gateaway,"Clean! Definitely will recommend to friends! Love the interior design ! Walking distance to mrt, mall and restaurants... They provide 24/7 free water(hot and cold) and ice cubes.. They also serve nice breakfast",50,Jan-20,Travelled as a couple,22,42
Tiny clean stylish rooms with very comfortable beds,"I come here for the price, convenience in location and superior beds compared to most in other low cost and even some luxury hotels in Asia (often too firm). I like soft and supportive sleep with clean white sheets. G provides that. Rooms smell fresh. I travel light so the space is fine for me. Good wifi.   The food in the restaurants is heavy - mostly meat, cheese, and burgers not great and lots of alcohol - bar food. Stylish but if you eat healthy and want a salad you'll have a hard time. there is a veggie burger if you're a vegetarian. Cafes can be found within walking distance. Free water refills on each floor.  I got a discounted rate online under $100 USD and find it well worth the stay for that price for my business trip as an entrepreneural business owner.   Enjoy",40,Dec-19,Travelled on business,47,50
Bad!😠,"Very small room, without ventilation in the bathroom and it had no refrigerator. We stayed 3 days and they cleaned our room only the first day, also they never changed our towels. The breakfast was not that good. Sorry i was expecting a lot more.",20,Jan-20,Travelled as a couple,12,30
Good for value,"Our family of 3 adults stayed at Hotel G for 2 nights.  We booked a Family Room which has an interesting configuration - 2 separate rooms (1 with queen bed and 1 with double bed each with its own bathrooms) accessed through 1 main door.  My 20 yr old loved it as he had his own room.   Rooms are quite small, had to strategically open/store our 2 full size luggages.  The space under the bed isn't big enough to fit our large size luggage. Above all, the bathroom layout is the most inconvenient.  Inside the bath area is the toilet and rain shower, which is impossible to put your clothing inside (everything becomes wet). Outside the sliding door is a basin with barely enough countertop to place 2 cups and a razor.  It would be nicer to install some hooks to hang face towels /…",40,Jan-20,Travelled with family,1,3
A small animal would have problems moving about in these rooms. VERY SMALL INDEED!,"Look elsewhere. Staff friendly. Thats about it. Prudent you shop around, rooms are terribly small, The saying swing a cat, WELL, one could not. Period!! Downtown good, Lots of small deli,s and restaurant, lots of bars, not far from city center.",10,Jan-20,Travelled on business,21,48
Nitty-gritty issues spoiling our stay,"Have been travelling for 20 hours with 3 kids prior to arriving to the hotel. Maybe i’m too selfish, but just wanted to crush on the bed and have a beer. Well, that will not work. Because MasterCard (embossed) debit cards - which are by the way called ‘world elite’ for whatever reason - will not be accepted by the hotel for deposit, meaning that the minibar will be removed from our room. Not just the contents of the minibar, but the complete fridge. No, you can not chill your own water either. Regardless of paying hundreds of dollars for the two rooms, you are not trusted with the minibar contents, and your room standards are decreased by removing the fridge. Trendy design is not enough for a good hotel, it’s the staff attitude that counts. Shame",20,Jan-20,Undisclosed,1,2
Great place,"Great place with amazing breakfast and pretty nice location. Would be happy if you could send me your kaya (palm jam). There are several nice restaurants nearby and reachable bus stops/subway stations. Personnel is polite, room was clean but quite small although there is special place for suitcases under the bed so it is ok. Interesting interior design.",50,Jan-20,Undisclosed,1,2
Great hotel,Great hotel to stay very central no more than 30 min walk to main atractions amazing sites. The rooms are small but work very well with all amenities breakfast had a great choice for all nationalities ,50,Aug-19,Undisclosed,52,48
"Good location, nice-looking room","Booked for a few nights at this hotel because of its location. It's just less than 5 minutes walk from Bencoolen MRT. There's quite a lot of food options nearby. This includes the burger place just below the hotel that is open until late night. In terms of room size, don't expect that much. I think it is less than 15sqm. However, despite its size, it looks nice and every part of it is well-thought of. You have a desk that you can work on, which can be a plus if you are traveling for business. Also, the room is clean and the sheets smell fresh. The cleaning staff is also nice and greets people. On the other hand, some of the not-so-nice things are: (1) The check-in process took a while tho (more than 10 mins) and I don't know why, (2) it is just weird that the lobby is at the 2nd…",40,Jan-20,Undisclosed,14,51
Expensive,"Singapore is a costly city and this hotel is expensive as per the facility provided. The room was too small for comfort, though the washroom was fairly ok. No space to keep more than 1 luggage. The bed is comfortable though. Breakfast is nice and the staff of cordial. Location is central, a little away from MRT, but if one is used to walking then will be fine. ",40,Jan-20,Travelled on business,20,36
Superb staycation!,"Cool hotel with very smart space planning and cozy contemporary design. Attentive service and good cleanliness.  Breakfast buffet was amazing by quality, especially pastries/bakery. Pancakes with kaya (coconut jam) are a perfect treat! We were happy to see hand sanitizers installed at the each floor elevators too.",50,Jan-20,Travelled as a couple,41,55
Nice & clean,"room is smaller than most boutique hotels but the room was clean & well maintained. Received a complimentary bottle of wine with Expedia VIP guest status. There are a few local eatery including the famous burger joint on the lobby floor.  Overall, I had a pleasant stay & would definitely return.",40,May-19,Travelled on business,1,2
Easy Stay,"Conveniently located with easy access to the subway. Easy pick-up and drop-off for Grab taxis. Fast check-in and express check-out. Clean, modern rooms fully air-conditioned. Stylish and trendy interior. ",50,Dec-19,Travelled with friends,122,89
A great find!!,"LOVED our stay at Hotel G! What a quaint boutique hotel in the heart of the city. Only a 10-15 minute walk to Orchard Road or Clarke Quay. The rooms were so well kitted out - use of space was marvelous. Even though two of us stayed in the most economical room, it did not feel like we were tripping over each other. The bathroom was a tiny bit small but then for the price, it was great value in total! Helps that there is a fab wine bar and a burger place right downstairs - or if street food is what you fancy, just outside the hotel you can find a late night roti stall + Thai food place. Def A+, will only stay here when we return to Singapore!",50,Aug-19,Undisclosed,2,2
"Clean, comfortable and lovely","I had a very pleasant experience - room was clean, and well-maintained all around. Bed was comfy. Decor was cool. Highly recommend especially for staycations. Entrance of hotel may be a little inaccessible if you’re traveling with large bags or have mobility issues, but that’s about it.",50,Jan-20,Travelled as a couple,434,76
Popular Hotel w/ Multinational Residents,"Spotlights: * Location, Location, Location * Walking distances for shopping, restaurants, museums & public transportation * Retro style interiors  Pity: * The elevators were pretty slow, too many residents needed to use them. * The A/C during breakfast time was weak, a bit uncomfy. * The mugs in the room weren't clean enough, had to wash them myself again.  Blog & FB Page : 席克偉 Foodie Chicvé IG @chicve02",40,Jan-20,Undisclosed,4,8
Greater King Room!,"Had a chance to book the biggest room in G hotel. Normally i would opt juz the regular room but this time I really wanted to try the biggest room & I managed to get one. Room was super clean. Tv channels was great! Coffee maker, snacks, bath robes, etc...all was exceptionally great! Despite room being near to the lift lobby, surprisingly it was quiet & I had a gd nite sleep for the 4 days 3 nites stay. Room cleaning was superb! I’ve been stayin multiple times here & it neva fails me! When I’m hungry, I can juz go down & grab food at the 24hrs indian muslim restaurant. Easy access to 7 Eleven too! Goin to Orchard road & Bugis was juz a walking distance. Location was great! Check in/check out was a breeze as always! 👍👍👍",50,Jan-20,Travelled as a couple,2,4
"Good hotel, Nice environment","Hotel is good, friendly stuff but the room is not as clean as expected. You will find thick dust at bed frame and window side. However the bed sheet is clean. Overall the experience is good but got room for improvement. And definitely recommend to friends. ",40,Jan-20,Travelled on business,3,4
https://www.tripadvisor.com/UserReview-g469404-d13458073-Half_Day_Tour_Fantastic_Uluwatu_Sunset_Temple_All_Inclusive-Sem,On time pick up nice transportation clean and fantastic air condicionar very friendly and funny thanks Oka for looking after us we had an amazing time and for showing us the Uluwatu temple the cute monkeys.,50,Dec-19,Travelled with family,13,21
Love the rooms!,"The interior of the hotel is beautiful decorated especially the room. Though the room are little small but it’s cozy and felt homely. Breakfast was good but felt that the food were abit bland.  In short, is a beautiful themed hotel with a very nice bar on the ground floor!",50,Jan-20,Travelled as a couple,2,5
Pretty good,"Room is rather small and basic but it is also clean, comfortable and cosy. The dreamcatcher adds a nice touch to the room decor. Location is quite okay, there are a few eateries around  and there are more if you walk some. Breakfast at Ginette was okay. Not a big spread but it's like the room - basic and fulfils its purpose. I feel I've got all I need for the price I paid.",40,Jun-19,Travelled with family,4,4
One of the  nices hotel in the center of Singapore for a good prise,"Small rooms ,but everthing was on the right place. Very quite and clean ,that you feel comfortable  for a nice sleep. Breakfast  is really  a nough  and service very good organisational. So you can find a lot  for a good breakfast .The G singapor  hotel is also very close to the shopping mall. I like to stay there again.",40,Dec-19,Undisclosed,17,21
Tiny and Cozy,"As this hotel was booked accidentally while browsing for hotels,I have no idea what to expect. Upon arrival, we had some hiccups to check in. Both parties was frustrated as the booking company did not handle our case in a professional manner. But then when things got sorted out,we got complimentary upgrade to a better room by the hotel. The staff were polite and very helpful. Bath and bed very clean and comfortable. Surely will recommend this place.",40,Jan-20,Travelled as a couple,3,7
pathetic room,the entrance is terrible and the queen room is so small there is no place to move around after keeping your luggage. no compliemntry water i provded.  the location of the hotel is good. the reception itself is extremely small. no swimming pool also.,10,Dec-19,Undisclosed,5,10
A night after cruise,Great comfortable hotel . Room rates is reasonable. Great location near bencoolen subway station and walking distance to Bugis shopping village. Fantastic taste Thai restaurant around the corner. Very helpful front desk reception! We’ll be back!!                         ,50,Dec-19,Travelled as a couple,1,2
Good to stay,"Perfect location and price. Room is small but so cute, just enough for one person to stay. No fridge but it's Singapore, you can get foods whenever you want. Breakfast is quite poor quality. No worth to pay 13S$++.",40,Jan-20,Travelled solo,7,2
Cozy place & wonderful location!,"Perfect place for people who like cozy setting. Lighting & decoration in the room was so soothing & pleasing. All the essentials in a small place. No wardrobe in the room but clothes hanging area could be enough for clothes, if used properly.   In terms of location, I found it perfect due to its proximity to MRT (Bras Basah, Bencoolen & Bugis) stations & bus stops. Bugis area, Little India, Arab Street, Sultan Mosque, Temples - Hindu & Budhhist, Maghain Abboth Synagogue, St. Peter & Paul Catholic Church, Parkview Square, National Public Library - all could be reached by walking down few lanes.   Food junctions are available at walking distance too- on Waterloo Street, Fortune center, Bugis area etc. & many more!   Enjoy your stay & moving around S'pore. It will be a worthy…",50,Dec-19,Travelled solo,72,32
Checks all boxes!,"Grea location, friendly service, very good wifi, very good burger bar... what else do you want when you visit just for a few days for business! Aaaaaaaand, they remember too (see photo). It’s there little things that matter the most!",50,Dec-19,Travelled on business,473,169
Nice and cozy room,"Nice and cozy room, clean and tidy. Room and toilet was small even for great king room. Good location, near Bencoolen MRT and walking distance to SIngapore Museum, Bugis and Orchard road. Breakfast not so good.",40,Dec-19,Travelled as a couple,19,13
Hotel G Singapore,"Lovely weeks stay over Xmas. We were out most of the day everyday so this hotel was good for that. Rooms really small but had nearly everything you need. No fridge, No cupboards. Bed up against window so had to climb over other person to get out.  Breakfast was included in price but have to say that was a disappointment. Cooking a piece of toast took about 5 minutes and still didn’t really happen. Choice of hot food was very limited.  Not sure I would go back again",30,Dec-19,Travelled as a couple,12,23
Great location hotel,Very convenient central location 5 minutes from subway station ..room very clean quite small.. just to stay overnight but confortable and have great brasserie restaurant downstairs. And a cafe breakfast next door too... Good budget nice convenient hotel...,40,Dec-19,Travelled as a couple,1,2
Best customer service,"Early arrival and hotel accommodate early arrival on their availability, good bar and selection of wine, convenience location easily access to anywhere in the city. This is a must stay place if visiting Singapore ",50,Dec-19,Travelled as a couple,15,10
Quirky little boutique hotel,"Me and my husband stayed here for 1 night - Quirky little hotel right in the centre ( taxi from airport takes about 20-30 mins depending on city traffic) great thing is, It’s walking distance to the harbour front / raffles etc. Lots of food restaurants outside with traditional food to chose from. Breakfast was ok , lots of choices but no meat ie sausages / bacon. The room itself was quite small But I guess for a central hotel at £70 a night it’s to be expected! Clean hotel.",40,Dec-19,Travelled as a couple,1,2
Afordable,"Very cozy and affordable. If you are traveling to Singapore and looking for a nice and cozy place to stay, I highly recommend Hotel G. The location is not bad as well. There are a lot of restaurants nearby.",50,Dec-19,Travelled as a couple,41,74
Vacation,"We loved the hotel and its atmophere. Lovely compound near bus stop and tube station. Few minutes walking from tourist sites. Reception staff very helpful and professional. The breakfast, despite several guests, has been always satisfactory for quality and quantity of food.  Strongly recommended",50,Dec-19,Travelled as a couple,561,80
Simple hotel with good punch ,"Decided to try this boutique hotel on the last weekend of 2019. Its very decent room. Quiet and nice. Too bad no pool only gym. But for a weekend staycation in bugis which is surrounded by lots of shopping and food, it's worth the stay. ",50,Nov-19,Travelled solo,1,2
Interesting decor and ambience ruined by undesirable service staff. ,"Interesting decor within a small space. Good location but back door exit was a dirty rubbish dump. Breakfast was OK but one of staff called cassandra was very rude in asking us abrubtly ""ROOM NUMBER??"" When we asked if the place was for the breakfast buffet area. We are appalled by the lack of basic etiquette as a hotel service staff of such  standards. It was meant to be a special Christmas anniversary for us but but now ruined by a staff that made us feel like interrogated prisoners. ",40,Dec-19,Travelled as a couple,1,2
Hotel In Singapore,"I spent one night at the G Point Hotel Singapore. Staff are all courteous and welcoming, buffet is a highlight (please maintain the quality and variety of offerings!). And the location is top notch. Massive investments into upkeeping the facilities, hotel & room furniture, decor and bathhub looks magically new. Overall exceeding our expectations and already planning for our return.",50,Dec-19,Undisclosed,5,8
Xmas Eve Staycation,"Room is very small but pretty much well equipped. No fridge thou.  Room smell funky when first step inside. Abit musky smell, hope mgt can look into it.  Nicely decorated and check in was smooth.   Breakfast is a little pathetic and top up is slow.   Not suitable for family with kids but ideal for couples",40,Dec-19,Travelled with friends,4,6
"Nice room decor and feel like home, bar is just down stairs, walking distance to Beencolen MRT and Bugis Junction","Nice room decor makes you feel like home, bed also comfy. Bar is just down stairs and a few food stall just in the corner and open till midnight. Walking distance to Bencoolen MRT and 5-10 min walk to Bugis Junction",50,Dec-19,Travelled on business,1,2
Ms,"WiFi in the room cannot be always connected..very disappointed.. the reception service cannot help either, why and what we should do since we are staying in this hotel for 9 days with sufficient WiFi Connection..",20,Dec-19,Travelled as a couple,11,18
Value for money,"Comfortable bed and perfectly equipped room. With kettle and tea and Nescafé provided, I made my coffee every morning. The rooms are small, but everything is very new, very well designed. It’s perfect for short stays. It does not have much storage, but I asked for additional hangers and room service turned up with requested hangers immediately. Staff is super helpful and they go out of their way to make your stay more pleasurable. It is very centrally located, Several MRT stations within 100 meters from the hotel. Plenty of eateries in the shopping centre next to the hotel. National museum is walking distance. Great location, 10 min cab drive from Marina Sands and Gardens by the Bay. Highly recommended",50,Dec-19,Undisclosed,432,94
Exceed expectations ,Small rooms but cosy. Bed is extremely comfortable. Basic amenities provided and the location is very good. It is walking distance to many popular shopping areas and area of interests. Local food choices are readily available around the hotel. ,40,Dec-19,Travelled solo,289,84
Convinient Hotel,"This hotel is located near bugis area, around 5-7 minutes walk from bugis/rochor mrt. Dont be surprise to see a bar at lobby area, their reception is on 2nd floor. Lucky the rooms start from 5th above ( i think). My room is on 7th floor, so its good and no need hear the noises from bar. A clean room, and convinient hotel also for me",40,Dec-19,Travelled on business,2,4
Boutique Brilliant and conveniently located to everything in Singapore.,Boutique Brilliant and conveniently located to everything in Singapore. I just wish they could adapt the check-in times. Considering that quite a few international flights land into Changi pretty early and sometimes you need to freshen up before that morning meeting. They are helpful though and allow you to park your luggage and also while away the waiting time at the lounge. Ginett and 25Degrees are some pretty cool restaurants too.  Maybe an additional charging point could help. ,40,Nov-19,Travelled on business,1,2
tight and cozy,"If you want to stay in Singapore down town we recommend this hotel. Price was its really good the hotel its self was nice, The location was good to be honest the rooms are small but that was okay for us since we just used the hotel to sleep. ",40,Dec-19,Travelled as a couple,68,57
"Trendy, but not that clean.","Overall, I would say my stay at Hotel G was ok. The overall hotel ambiance was nice and trendy. They have a good gym. Breakfast was included which was nice.  The cleaning staff would always clean my room late in the evening when I would actually want to relax before dinner - it seemed to be an on going issue. I fell asleep during the time they wanted to clean around 6pm (very late) and I asked the cleaner if she would help refresh the towels or sweep up but she complained that she was already done her rounds. The cleaning wasn't that great as well. They did a fast sweep (I noticed there was still dirt and dust on the ground after they cleaned) and I doubt they mopped. I did make a complaint earlier on TripAdvisor about the  air conditioner being too noisy making it hard for me…",30,Dec-19,Undisclosed,1,2
An Enjoyable Stay,Stayed for two bites. No complaint at all. Room very clean .Very convenient to MRT stations & eating places. Breakfast was quite sumptuous and have a fair spread. Only problem I experienced is short of spoons . ,40,Dec-19,Travelled as a couple,1,2
Convenient,"Only 3-min walk from hotel to Bencoolen MRT station, many bars and restaurants nearby the hotels, it is very convenient. The room is a bit small but just right for two people bringing small suitcases. No fridge in some room so you may ask the reception to store your food in the share fridge.",40,Dec-19,Travelled with friends,47,43
My favorite Singapore Hotel!,Love the room decor and exceptional services provided by friendly staff. Some rooms have handicap friendly toilet that is a great help to wheelchair bound customers like me. The location is another great convenience for anyone that wishes to go sightseeing all over Singapore. Definitely will recommend this hotel to my friends when they visit this beautiful country. Thumbs up!,50,Dec-19,Undisclosed,19,43
"Fair price, clean room. Great for business travelers","This hotel is centrally located near Bugis; 10 min walking distance. The room is not the biggest, but everything is just right and very clean. The mattress is of very good sleeping quality. Fair price, compared to general SGP room rates versus locations. Great French restaurant downstairs, with fair prices too.",40,Dec-19,Travelled on business,1,2
"Great hotel, and very friendly people, especial the reception","The location of your hotel was very simple to find, and very near from everything. If we go back, we will be there again. The restaurant is great... a bit noisy at night.  Breakfast compleet, and very good coffee for start the day! Price and quality is correct.",40,Nov-19,Travelled with friends,2,4
Wonderful hotel in center,"Near metro in  center lots of bus, 3 small restautant near, excellent breakfast and if you have money hotel restaurant ginett is great ambiance lots of golden youth from Singapore. SMALL rooms bur very clean, nice equipped you have all you need , water fountain floor cold , hot water, coffee tea in room.",50,Dec-19,Travelled as a couple,1,2
Trendy Hotel with helpful & friendly staff,"We have stayed at Hotel G numerous time when we visited Singapore and this time was by far our best experience. Thanks to Shawn, he was extremely helpful and patience. He assisted me over the phone when I called reservation desk to finalize my booking. I was very pleased to meet him in personal when I checked in.  Shawn has provided us a “5-star” customer service during our stay. We had an awesome experience during our stay. The room was comfortable & cozy with comfy bed.  We love Ginett, our favorite dining place. It has an awesome vibe and bustling at night with mostly young expatriate patrons. Food is great, has a good selection of wine and a fun place to people watch. (tips: make sure you make reservation in advance they tend to get busy). Hotel G is centrally located,…",50,Dec-19,Undisclosed,56,33
Always nice to stay...,"I return to sg for comic con 2019, and this is my 2nd time stayed in this stylish hotel, everything as usual, comfort, friendly staff, fast check in and check out, simple and nice breakfast ...just 1 disappointment: without handy smartphone... but still perfect to me!",50,Dec-19,Undisclosed,142,90
Small but good value rooms,The hotel is in a great central location and close to MRT stations. The staff were friendly and helpful. The rooms are very well equipped and the sound proofing is good. I got a good night’s sleep. The breakfast was extensive. Very good selection. The only negatives were the lack of a light switch near to the bed - it was hard to find the light switch in the middle of the night - and the rooms are very small. It was almost claustrophobic for one person. I would not have wanted to inhabit it with two people in the room. You would be bumping into each other and one person would have to climb over the other to get out of bed.,30,Dec-19,Travelled on business,14,22
Hotel G stay,"My wife and I stayed at this hotel when my wife participate in recent SG marathon.. what i really like on this hotel was their drive to sustainability they are the only hotel ive seen that have a built in water dispenser on eveey floor and on the room setup instead of the usual water bottle they set up water in tetra pack boxes.  Theres a nice bar also on the ground floor that serves nice variety of wine and spirits,location is so nice its near a train station and walking distance from bugis.  Checking in and out is as smooth as silk.  Looking forward in staying at this hotel next year.",40,Dec-19,Travelled as a couple,44,60
Hotel G is a bit of a disappointment when you see the room in real compared to online photos,"Location is excellent as the hotel is located in the Centre of City. Lots of restaurants, shops & malls around the hotel. The rooms are clean but smaller than online photos. The bathroom is also small. The staff is friendly. The cost of the rooms is expensive for the room size offered. Also, early check in is S$120 which is insanely expensive and non-negotiable considering our Room Cost per day was S$140. Check in time is 14:00 hrs but the hotel may accommodate you by 13:00 hrs. There are 3 MRT stations at walking distance to the hotel. So overall, the locality is excellent but the cost of the hotel could be slightly better.",30,Dec-19,Undisclosed,118,74
Try to stay somewhere else ,"Not clean room, even after our complaint at the reception desk, 4 days in a row the same result. Friendly staff but unwilling to provide any help. Very good breakfast at the 1F and pretty good GYM at the 3F.  My suggestion is to try an other place.",20,Dec-19,Travelled as a couple,8,4
Short Business Trip- Singapore,"Hotel G Singapore is strategically location form all MRT Station. Very Clos to Shopping is alike Bugis, SIM LIM Tower, Mustafa market & Even Little India.   Working person after his work can visit this place for shopping.  Resturant- 25 Degree serves awesome burger and if you want to try some local food then next to the hotel there are some few joint where you can try Local authentic. food",40,Dec-19,Travelled on business,2,4
Simple and great,Check-in was on 2nd floor above a happening pub on the ground floor. Room is small but well designed. Comfortable with great shower and aircon. Didn't like that it didnt hve a fridge. Location was only 2 blocks to closest mrt and shopping area. Nothing fancy about this room. Just simple and great,40,Nov-19,Travelled on business,1,2
Good location and Stylish,"Clean and fullfilling amenities.  The  restaurants are also good as having diner with people to make open atmosphere.   But, shower room is a bit too small sharing with toilet...   Lcation is also good to close from Rochor station MRT.",40,Nov-19,Travelled on business,75,76
As Small as a 20 foot container,"Not that I mind the size. The room is actually quite well laid out. The real problem is the shower is separated from the WC only by a shower curtain and water flows from the shower into the WC because the floor is levelled. Try book a room without breakfast,  nasty buffer spread with cheap food. Everything is self service including your cutlery. We sat at tables never been cleaned both mornings. ",30,Nov-19,Travelled as a couple,18,33
Beautiful boutique hotel,"Hotel G is perhaps one of the best boutique  hotel I’ve stayed in. It’s clean, has an awesome vibe, and there’s a restaurant on the first floor that serves really good food and drinks. Rooms are on the small side, but just enough. Will definitely stay here again! ",50,Nov-19,Travelled as a couple,2,4
Excellent service,"The staff at Hotel G is very friendly and helpful! The hotel itself is also good. Our room was quite small, but it had everything that we needed. Breakfast was ok, but could have been better. Location is also very good!",50,Nov-19,Travelled with friends,2,2
Impressive this hotel,I’ll see you again G hotel Recommended!! Staffs are so kind and helpful  Clean room and so cute  Room is not too small that’s perfect for couple I love this view city view We can see Marina Bay Sand from here !!😍,50,Nov-19,Travelled as a couple,2,8
Very average if I'm honest,"4* in Europe would have many more facilities, overall staff are lovely, very helpful and accomodating. Breakfast well below average and was often all gone by 09.30am. Saying that on the last day they were restocking at 10.00am, so perhaps someone had complained. Rooms are tiny and I mean tiny with little natual light. It does however represent value for money. The G bar at night is cool with a nice ""Ibiza"" style vibe to the music.  The difference between G and Marina Bay Sands isn't that much, but they are worlds apart.  I would rate this a 3* at the very best.  Love Singapore though.",30,Nov-19,Travelled on business,4,7
Good value to price,"Clean, close to metro line and city centre, poor breakfast, room was small but it's normal in Singapore and we knew about it.  Little India you can get to by walking 10 minutes. I reccomend this hotel. ",50,Nov-19,Travelled as a couple,4,19
Disappointing,"I would not recommend this hotel. It feels more like a hostel. Tiny rooms, basic common areas and below average breakfast. The restaurants are good in the evening, and the location is central, but those are the only positives. Lots of other good boutique options in Singapore.",20,Oct-19,Travelled on business,2,6
Pretentious and not 4 stars,"The rooms are small and that's actually not an issue for me. However, it's trying to hard to be like one of those small boutique places in NYC. Cheap toilets and showers. The quality or breakfast is somewhere between IKEA and travelodge. Breakfast is spread out on different levels and often have to go back and forth. When asked about plates on one floor she grumpily got them but said ""they are on the other floor y'know"". Why not have plates at all the stations...? It's a 4 star hotel y'know... Location cool, but not a place to use if you want more than a bed and def not worth it if more than 1 person in a room. Not worth the price... ",20,Nov-19,Travelled on business,175,145
Small but Comfortable,"I was surprised how small the room was, but it did the job and it's in a great location with everything you need on the doorstep. Wifi was good, nice big bed with good linen. Breakfast was more than sufficient. If you want space, this might not be the hotel for you but if you're happy with a smaller room in a great location I would highly recommend it.",40,Oct-19,Travelled on business,1,2
"Not so good, dark receptions, very small rooms, long waiting at the reception, no sufficient employees, overall not good","Very gloomy, dark and small reception, long waiting at reception, no sufficient staffs, No help to carry luggage, poor ambience, very small room, Over all very much dissatisfied experience, Its not worth of money for sure. Since I paid already through expedia I was forced to complete the stay or else I would have ran away from there.",10,Nov-19,Travelled on business,1,2
Small room,"Really good breakfast and also good location, can walk to most places. Really fairly priced compared to other hotels, but two people plus luggage in one room was a squeeze. Nice food options around too.",30,Nov-19,Travelled as a couple,85,61
"Trendy hotel with nice bar & restaurants.  Tiny rooms, lobby","The hotel was designed to be trendy and it sort of works.   The bar / restaurant on 1st floor was great - decent food, big wine list, and good night scene.   For our taste, traveling with a good bit of luggage, the room was small & cramped.  The hotel was busy and the elevators slow and usually crowded.   The lobby is tiny and jammed with people waiting to reach the front desk or get a taxi.  Not particularly convenient to the MTR compared with many hotels in Singapore",30,Oct-19,Undisclosed,36,48
Good hotel for business visits,"I stay here when I come to Singapore for business. The rooms are good size for one person. Nice staff, good service and great facilities around. Strong wifi, both in the room and in the restaurants downstairs.",50,Nov-19,Travelled on business,219,113
Forced  overnight Stay in SIngapore,"Was forced to stay overnight in Singapore due to QANTAS cancelling flight from SIngapore to Melbourne. Was rescheduled for the following night. Arranged for room at Hotel G and they offered a free late checkout to 2pm, but I needed it to 5pm, so I paid an additional amount to enable  relaxing before heading to airport. the rooms are small but functional, the cafe/wine bar downstairs is very good",40,Nov-19,Travelled on business,1,2
Fabulous hotel!,"The hotel room is very cozy and I love the concept so much. It’s very modern and stylish! I know this is not exactly why someone would want to stay at a hotel but hey! They make an effort to ensure it looks nice!  Was attended by Shawn and Ana, both are very friendly and helpful staff. Earlier I had a pleasant experience with Radha too! Was troubled with the fact that my flight was rescheduled to evening and she was quick to help me with my extension and super friendly despite the crowd is getting busier.  All in all, the hotel is great, they even have a 25 Degree restaurant! Which is fantastic too because I went to the branch in LA and fell in love with their milkshake and I get to relive my memory!",50,Nov-19,Travelled as a couple,34,45
"Good value, good location ","I would say a good hotel for a short stay. Rooms are small but functional and clean. I was alone in the room so was ok, 2 people with baggage would be a little crowded for a longer stay,  Breakfast was fair, but layout of food was confusing and I found it annoying.  Lobby is small and can get crowded. First impression of hotel due to lobby area is not good. Staff I would rate as average.  Location is convenient and a short walk from most nearby attractions and shops.  I would visit again if on business alone, traveling with my partner I would probably go elsewhere with a slightly larger room.",40,Oct-19,Travelled on business,5,7
"Small, clean, and good location",Stayed in early November. Our room was on 7th floor and was very small but practical. The hotel is situated less than a quarter mile from the nearest MRT. Below the hotel and is a burger joint which is bustling at night. The same burger joint also serves as the breakfast buffet. Breakfast was decent with a combination of western and local offerings.  One minor gripe with room is that the sink sits outside the bath/toilet and located in the entry way. This felt a bit odd. The ventilation for the bathroom was impressive as there was no visible/audible fan.,50,Oct-19,Undisclosed,65,66
Decent hotel with a very good location,"We booked to stay at the Hotel G for 2 nights in Singapore during a brief stopover and chose the hotel primarily because of its location in the city centre, only a 15-20 min walk away from the Raffles City mall and also within 15 mins walk of Bencoolen MRT so quite ideally placed for travelling around the city easily.  Like a lot of trendy, hipster-ish hotels, this is in a converted office building, with a very small lobby. When we entered this lobby to check in, we found it rather unpleasantly crowded with people queuing up at the desks with few empty seats left for people waiting.  Checking in was simple enough but they did not allow us to check in before 2pm unless we upgraded our room - an additional SGD70 for 2 nights so we didn't quibble.  The room itself was fine, if a…",30,Nov-19,Undisclosed,6,2
my first choice of hotel in SG,"Nice staffs, strategist location, and clean room. I'm pretty sure I'm going back to stay in this hotel during my next business/personal trip. Hopefully next time I can get a room with a view though :) ",50,Nov-19,Travelled solo,6,21
Your money is better spent elsewhere,"Subpar customer service, tiny rooms, average bed. Biggest peeve is the slow-as-snail lifts. If you are planning a stay here, expect to waste anywhere between 10-15 minutes waiting just for the elevators.",30,Oct-19,Undisclosed,7,10
