Review Title,Review Description,Review Rating,Month of Stay:,Type of Trip:,No. of contributions from reviewer:,No. of helpful votes on review:,Hotels
Best Hotel in Singapore,"Having lived in Asia as an expat for over 30 years, I’ve stayed at many top hotels for both business and holiday.  I can truly say, that the Shangri la, Singapore, is the best hotel I’ve ever stayed in Asia.   We were supposed to stay here one night, en route from Malaysia. We ended up staying here almost three weeks!  I had a major medical drama at the Shangri La.  In the middle of the night I was taken to a local hospital with pneumonia. The staff was helpful and supportive, quickly arranging a taxi in the middle of the night, extending our room and supplying us with special meal requests due to strict diet restrictions after I got out of hospital.  From the cleaning staff to the GM, the friendliness and personal care we received is unequaled in any hotel I’ve ever stayed.  …",50,Sep-22,Travelled as a couple,106,74,ShangriLa
Worst Service in town,"Excellent food but terrible service. The Service in the restaurant and the bar is strikingly bad.Sorry to say, but in Fastfood Restaurants the Service is better. For this category level an absolute no go. I can’t recommend the restaurant and the bar",30,Sep-22,Travelled on business,3,0,ShangriLa
Finally back to my Favourite Hotel,"It has been two years since my last visit to this iconic Singaporean Hotel.  The world has certainly changed due to the pandemic, constant lockdowns and of course the difficulty in travel. All of  these have thwarted my efforts to visit my favourite destination and also my favourite hotel.  Being a guest with over 45 years of experience, it has places me in a unique position.    Checkin didn’t go according to plans I am afraid, you see I requested the junior suite facing the pool, unfortunately someone decided that they would allocate my room to someone else. My profile clearly states my preferences but unfortunately even though the request was made well in advance my junior suite was city facing.  After two failed attempts to have my room changed,  I decided not to bother. …",40,Sep-22,Travelled on business,30,34,ShangriLa
Be careful about double-charge,"Double-charge could happen if you stay in this hotel. I don't know where I have to start anyway this hotel was/is/will be the worst hotel that I've experienced -> very untrustworthy hotel, so if you're customer of this hotel, you have to check all invoices and credit card account and even for the deposit amount   1) I stayed in this hotel from 8th to 11st August, and they charged me about 1,460 SGD when I checked-in, but it was a bit different that I booked, so when I asked to double-check the amount, they suddenly cancel my amount. And reception just informed me that they will give me a call soon but there was no reply to my call.   2) When I checked out, I told them ""I have to pay for 3 nights, since you cancelled my amount, so I paid.   3) After a month, I found that I have…",10,Aug-22,Undisclosed,1,0,ShangriLa
Five stars,It’s a top hotel in a prine location just off Orchard rd. Rooms a good size and nice restaurants.The price is a bit high. Rooms quiet and nice views. Check in easy and plenty of staff. Singapore is a busy city.,50,Sep-22,Travelled with family,16,0,ShangriLa
Exceptional service from Zack Law!,Thank you Zack for helping sort out my Dad’a golden circle membership when he was encountering problems with the online system. He was very impressed that you even went to the other departments just to help him out. Thank you again and they had a wonderful time!,50,Sep-22,Travelled with family,3,3,ShangriLa
Must Stay Hotel,"Must try staycation at Shangri-la to experience a great stay! Shangri-la went beyond to ensure our stay would be memorable, and it was truly remarkable! In summary, kind staff, attentive services, generous and well designed hotel. We celebrated birthday, the amenity and decoration in room was nice. I'm thankful for. I was also given early check-in and late check-out, which gave the chance to explore the hotel as it's big. Breakfast buffet has wide variety and is delicious. Picnic in the garden concept were also good to try (if rain allows!). Would recommend to take pool view rooms, to have resort vibes, and hotel really have exceptional facilities for children!",50,Feb-22,Undisclosed,97,5,ShangriLa
Honeymoon at the Shangri-La,"We had our honeymoon at the Singapore Shangri-La. On arrival in our room we had a special cake, Swan towels and petals on our bed. The rooms were clean and had everything we needed.  The food available at breakfast was superb and attention to detail was very high. A special mention to M Fauzan. He made us special Indian masala tea and made us a special honeymoon fruit platter on request. Never had such special Service from anyone before.  A credit to the hotel and a big thanks Fauzan for the wonderful service each morning. An amazing hotel",50,Aug-22,Travelled as a couple,2,0,ShangriLa
Hospitality was disappointing,"Booked the Shangri-La to celebrate a friend's birthday in Singapore and emailed them regarding this. Instead of suggesting recommended celebration add-ons or offering a complimentary cake (which Marina Bay Sands does), the reservations team  chose to advise me of their strict one-person limit for their standard double rooms. I was not intending to bring more than the one allowed guest but I find this reply to be very showing of what the staff prioritize.",20,Aug-22,Undisclosed,6,0,ShangriLa
Family resort that has seen better days,"There are lots of nice touches and highlight but the hotel has aged and a facelift is needed to bring it up to the expectation one has when staying at well stared resort like the Shangri-La. The check-in and check out process was kind, but very long and cumbersome. It’s a key area that needs up skilling and some tech efficiencies might help. Both processes (excluding waiting time) were 30-40 minutes. An area where the amount of staff didn’t make up for incompetencies. Unlike in the Restaurant, where the team varies in skill but sheer volume does cover up small errors. However on two  occasion we tried with little success to order a beer.  The food quality is fine, lots of choice. The Indian section by far the stand out. Venturing out of the hotel definitely deliveries better for…",30,Aug-22,Travelled with family,193,89,ShangriLa
Recuperation,"Comfortable place to stay for sure. My family chose ShangriLa for my father's post surgery stay, and we are not disappointed. The food was good, we tried Shang Palace, Origin Grill, and The Waterfall (we bought bread from Shophouse everyday as well). Shang Palace is definitely our favourite. As for service, all of the receptionists are very very very helpful and friendly. Special mention for Jas who helped me the most since my day of arrival.",50,Aug-22,Travelled with family,1,0,ShangriLa
Great service!,"Whenever we need to make a choice to stay,  this hotel is the one!  Its service is always sustained, and the food quality is also high.    We always recommend it to our relatives who need to come to visit me and my partner in Singapore.  We stay at the room with a good view over the city.   Rooms are clean and they never miss the details.",40,Aug-22,Undisclosed,2,0,ShangriLa
Stay august 9 to 17th . Junior suite horizon club access. Room 2226,"Confortable suite and nice staff.thanks to paul,audrey,gian and Zoe for their warm welcome and services. Great hotel for family with huge pool and lots of kids activities. I just regret that kids under 12 years old can't go to the club except weekend days.I hightly recommand the Shangri-La as the bed was also really confortable with pillow menu. Thank you to all the team for this wonderful stay. Room 2226",50,Aug-22,Travelled with family,28,31,ShangriLa
Beautiful hotel but NO smoking rooms despite being advertised for them on trip advisor. Avoid outdoor breakfast,"The good:  Beautiful patio with plants and koi and squirrels. Very friendly staff. Good breakfast selection with fruits rotating over days.  The bad: No smoking rooms despite advertising them, which is deceitful and I wouldn't have booked had I known.  Avoid outdoor seating for breakfast, there are gangs of pidgeons and beos just waiting for the guests next to you leave their table to get some tea leaving their food on the table and they will make an absolute massacre of that food with one or two dozen birds, food and feathers flying all over the place. Or kids of guests will throw food to them to similar effect.  Also you'll be required to *reserve* a spot for breakfast via QR code but even doing so might end up with 30 pax waiting. Complete mess for a 5 star hotel unable to…",20,Aug-22,Undisclosed,16,18,ShangriLa
Good to be back!,"The moment we arrived at this stunning hotel we were reminded of its tranquility and beauty, the reason we always return here when in Singapore.  The Valley Wing stands out for so many reasons, and a stay here leaves you refreshed, relaxed, and wishing you didn’t have to leave. It’s old school style with attention to detail is so very impressive.  In particular I’d like to thank Raja, always around to oversee we have everything we need, including never letting our champagne glasses get empty! Jergan for making breakfast the most joyful experience, Peggy for organising my gluten free requirements, Wee Loong for advice on places to try for dining, and chef Richard for the most fabulous high tea and canapé selections.  Staff dressed impeccably are  always on hand for every request.…",50,Aug-22,Travelled as a couple,18,44,ShangriLa
The only hotel you want to be in when in Singapore,"It was a wonderful experience in Shangri-la Singapore from checking in to leaving the hotel. The hospitality in Valley Wing was simply awesome. Keith, Benjamin, Celine, Zi Liang and many others whom I don’t remember their name at the Valley lounge was just marvellous. I’ve stayed in many other Marriott (Titanium) and Accor (Diamond) properties in the world and Shangri-la is undisputedly one of the best in the region. I will definitely be back!! Thank you.",50,Aug-22,Travelled with family,1,0,ShangriLa
Luxury and comfort stay at Valley Wing,"Probably the best hotel at Singapore! Spacious room, free flow champagne, slash Waterpark for kids, quality breakfast (steak and caviar) and attentive service. Definitely unbeatable! Special thanks to Benjamin for the excellent service at the lobby lounge at Valley Wings. We will come back.",50,Aug-22,Travelled with family,5,4,ShangriLa
Still a favourite,First time back since covid times. Travelled with a young child and we had an amazing stay overall. We stayed in the garden wing this time and I would say it’s worth the extra for the space and view. Room is clean and well maintained. We tried several f&b outlets while staying here and all the food was good. My son had a great time at splash and buds. The normal pool is also in good condition and not too crowded. All the staff were very attentive and kind to my son and our requests were generally promptly attended to. Only negative was that our bags took almost an hour to be brought to our room after check in and we had to follow up. Will stay again! Definitely recommend this Shangri-La over the sentosa Shangri-La. In future we will continue staying at this hotel and just taxi…,50,Aug-22,Travelled with family,2,2,ShangriLa
Waited 30 minutes to check-in,"I arrived at the hotel at 2:30 pm and understood that the check-in time was at 3:00 pm. I do not mind waiting till 3:00 pm as I was early. 3:00 pm has passed and I asked the staff at the lobby counter about the status of my room. She informed that I have to wait 10 minutes more as the room was not ready. So, I waited 10 minutes and checked with her the second time. Again, I was told that the room was still not ready and was requested to wait further.  I waited the second time and after a few minutes, I approached another lady at the counter. Once again, I was asked to wait for a while. By then, it was already 3:30 pm, meaning to say it is 30 minutes past the indicated check-in time. So, I asked her how long more do I need to wait just to get a room. What upset me the most is I…",20,Aug-22,Travelled on business,1,2,ShangriLa
Superb Shangri-la! Thank you!,"We decided to treat ourselves to a family holiday to Singapore as a result of the Covid lockdowns. It was our first long haul flight with our 2 year old, but having visited before we were confident Singapore would be great.  After a terrible experience at the airport, where families were ignored at security, we eventually arrived at the Shangri-la and met the lovey Diram at reception. He was warm, welcoming and apologetic for our poor experience up until that point. He treated us so kindly & personally, providing our son with a little treat bag that just made our ‘real start’ to the holiday.  We stayed in the garden suite and the room was excellent. Good sized balcony, nice shower and bath, plus all the amenities you would expect of a 5*. We had room service on the first night…",50,Aug-22,Travelled with family,25,9,ShangriLa
We come back for the staff,"This is a beautiful hotel with fantastic grounds. However it is the helpfulness of the staff that set it apart from many other lovely hotels in Singapore. In particular we found Sharmah to be polite, helpful and friendly, and has helped us efficiently and expertly for many years. He’s a great asset to the hotel.",50,Jul-22,Travelled as a couple,16,37,ShangriLa
Still good,"Just a lovely hotel. Staff try hard to deliver great service. Facilities are top notch. Had to work a bit at check in to get an upgrade on the Amex FHR booked room (Shangri-La is always stingy with upgrades but generous on check in/out times). Of course a bit of a walk to Orchard Rd but knew that when choosing the hotel. Breakfast in The Line busy as always but possible to reserve a time slot. Good stay, will return.",40,Jul-22,Undisclosed,35,51,ShangriLa
Impressive hotel,Very impressed with this hotel.  Great rooms and great nights sleep which was a bonus in a busy hotel.  The pool and gardens were lovely. The breakfast selection catered for everyone’s needs.  Easy to get around or get a taxi from the hotel. Many restaurants within the hotel to choose from.,50,Jul-22,Travelled as a couple,43,43,ShangriLa
Outstanding,"This is an extremely luxury hotel with amazing staff. The room was so comfy and clean, it catered for everything we needed.   The staff were amazing and so helpful. Location was great as it was only a 10 minute walk to Orchard Rd. Breakfast was outstanding, it had food from every corner of the world, you would never go hungry eating their breakfast.   It didn’t get a 5 as the hotel held a school prom and the kids managed to get on to our floor at midnight and were extremely loud!",40,Jul-22,Travelled with family,202,81,ShangriLa
Amazing Lunch @ The Line,Many thanks to Rosy's team on Sunday (24 July 2022) for making our birthday celebration a memorable one. Kudos to Tobias that served our table during lunch! The service was really nice and accommodated nicely to our requests!,50,Jul-22,Undisclosed,1,0,ShangriLa
Not what it was…,"We stayed at the Tower Wing in a one bedroom suite for 11 nights with our two kids (8 and 10). We also had a separate room booked for the kids’ grandmother and Aunty.   We have stayed at the Shangri-La before and loved the facilities. The grounds are amazing, and the pool is simply wonderful for kids. Those things haven’t changed, but a bunch of other aspects of our stay were really disappointing.   First of all, our room was changed without any notice to me to a room in the Valley Wing. I only found that out as we came to check our booking before departure. That meant that grandmother/Aunty would be staying in a different wing of the hotel, which was less than ideal. As a result, I paid to upgrade their room category to the Valley Wing.   When we arrived to check in, we were…",30,Jul-22,Travelled with family,8,29,ShangriLa
Singapore Luxury.,A fantastic hotel in an ideal location. A very efficient and professional check in. Rooms luxurious and well set out. Air conditioning good. We had a city view Garden Wing with balcony and great view. Housekeeping was excellent and efficient. Service prompt and professional. Only disappointing aspect was the service for breakfast. Some staff were less than friendly with seating service. Table service staff however were very friendly. Breakfast is incredibly busy and a bit like organised chaos. Still loved our stay and would return in a heartbeat.,50,Jul-22,Travelled with family,268,60,ShangriLa
Valley Wing is still the best!,"The room that I’m staying is the standard valley wing king bed room. At 500 square feet, the room continues to exude elegance and opulence like the common area of this property. What I like the most was it has struck a balance in creating such ambience without being too old-school. Yes, if you are a fan of W hotels, you might not like the abudant use of wood or this chandelier, but as luxury traveller, I found this room very comfortable and well kept.  Equally impressive is the bathroom, which is big enough to accommodate separate area for shower and bathtub.  The use of marble stone in the bathroom is very typical five star hotels. Also the hotel has used Loccitane as their official skin care products for many years, and you know how good they are.  The swimming pool of the…",50,Jul-22,Travelled solo,150,83,ShangriLa
Vera our housekeeping attendant was outstanding,"Our Family visited Singapore and stayed at Shangri-la hotel in Tower wing for a week. The service and stay was very comfortable.  We wanted to specially mention the work of Vera who did our housekeeping. She was very courteous and comforting knowing at times our kid was sleeping and she would come back later to finish pending work.  We wish her and all the staff at Shangri-la all the best to keep the standards high 👍🏻.  Best,  Shalin Maheshwari",50,Jul-22,Travelled with family,2,0,ShangriLa
Amazing Experience,"For parents looking for a perfect staycation with their family, look no further. This is the only hotel in Singapore which is the most children friendly having stayed in quite a few hotels in Singapore. We have been to this hotel a total of 4 times and it definitely gets better.  This was the first time our 1 year old joined us for the staycation and it was nothing short of amazing. We stayed in the Valley Wing this time and the room is huge, comfortable and stunning (beautiful chandelier). A comfy baby cot and stoke high chair were also provided upon request. They even provided a strawberry cake and some balloons for my daughter's 1st birthday. I really appreciate the fact that they can even accommodate to our special request, to prepare some light congee with fish, minced meat…",50,Jul-22,Undisclosed,157,70,ShangriLa
Amazing hotel and professional service,"I came here with my partner and we absolutely loved the hotel. Despite hassles related to COVID-19, we felt at home. This is a testament to the great service.   Unfortunately we left abruptly because of a family emergency. Although we were stressed and impolite due to our sudden and rushed departure, the staff never ceased to provide a professional and courteous service.   We want to apologise for any rudeness and thank the ShangriLa for making our stay in Singapore an amazing one. A further thanks for sorting our taxi to the airport as well. It was much appreciated during such a stressful time.  Due to the service and high standards, I will only stay at the ShangriLa when visiting again.",50,Feb-22,Travelled as a couple,2,0,ShangriLa
Great place poor service.,"Stayed for a weekend. Amazing facilities. Room was also renovated.  Service from select teams very poor. The guys at the health club were very helpful...but the rest not so much.   Had 2 incidences with the front desk.  Upon checking in, was told my booking didn't include breakfast when I in fact was 100% sure that my booking online had that.  Upon checking out, I was being charged a room rate 100 bucks more than what I booked online. Staff had to check (which took at least 10 minutes). Realized they were wrong, but were completely unapologetic about it...and tried to deflect the blame to the site.   Another incident was upon arrival & departure.  I got dropped at the main entrance. Zero assistance in carrying my luggage. There were staff from the hotel who were not…",10,Jul-22,Undisclosed,5,4,ShangriLa
Disappointed - Scammed of my security deposit,"I stayed at the Shangri-La Singapore various times during business trips to Singapore and usually experienced a great service. However, after my last stay the hotel did not release my security deposit without any explanation.   It's been three months and the security deposit was still not released. From the front office there is no explanation, simply that they instructed their merchant bank to do so and ""it should be released in a few weeks"".  Not sure if it's a blatant scam or just incompetence. In any case, I paid twice for a week's stay and only get standard emails from their front office staff. Be mindful when providing them with your credit card details.",10,Apr-22,Travelled on business,1,0,ShangriLa
Shame on shangrila first and last time staying at this hotel brand !,As soon as we entered we told them we were not happy with the room.  Our agent also got in touch but we were not assisted through out our stay.  We brought this up to 3 different people and firstly asked them to upgrade or change the room within same hotel to which they said they full and nothing can be done.  They refused to also refund us so that we could not  find  another hotel either.  Shame on them.  Their reception staff not friendly at all (maybe they need to fire them and bring in staff from countries like Thailand etc who know what customer service is)  Their bell boy rude.  Cleanliness in rooms despite telling them to hoover behind child dropped crisps never got attended and I did not bother to escalate since they have a no care attitude towards customer!!!!  The spa…,20,Jul-22,Travelled with family,11,0,ShangriLa
Disappointed,"We were a disappointed in the room and the lobby bar service at this hotel. We stayed in the Tower Wing. We had a king room. These rooms are a bit dated, and oddly configured. The bed is angled in the room, which isn’t the best use of space and made an already small room seem smaller. Also, they had slippers in the room but no robes, which seemed odd. Perhaps housekeeping missed it? There was coffee and water in the room, which we appreciated. After checking in we went down to the lobby bar for a drink and a snack, and we never saw our server again after placing our order. Found and drinks came, but had to chase someone down for the check. For the money we paid, it felt overrated and disappointing.",30,Jul-22,Travelled as a couple,12,0,ShangriLa
Still Got It...Excellent,"Stayed here many times, on this occasion with my son and we had a thoroughly enjoyable stay. The rooms are beautifully appointed with everything you need, breakfast in the Valley Wing a real deluxe experience,  but most importantly the staff here are just excellent. Always a smile, warm, welcoming and so professional. A refreshing observation to actually see management around the Hotel, available to chat and supporting the service team, so important these days given the global staff shortage in hospitality. Will always use this Hotel when in Singapore.",50,Jul-22,Undisclosed,365,148,ShangriLa
Disorganised Hotel,Found used towels in room. Been given expired amenities. Lack of turndown service. Lack of consistency across all the staff. Been told different answers by different staff members regarding breakfast arrangements. Breakfast table cleared and ready for the next guest while I was up grabbing more food - Is this discrimination against solo travellers? Also found out that GC Dimond status means nothing here as they clearly do not value you.,10,Jul-22,Undisclosed,4,0,ShangriLa
Excellent stay in Garden Wing,"We stayed in the garden wing for 5 nights. The location was slightly removed from the CBD however its proximity to Orchid Rd and the Botanic Gardens well made up for it. Make sure to book for the restaurants far in advance- we tried to get bookings during our stay and there were none available at reasonable times. The rooms were good with plenty of amenities, an excellent buffet with enough choices for you to eat there every day and always find something new! The property was beautiful and service was up to high standards.",50,Jul-22,Undisclosed,4,0,ShangriLa
"Clean, Superb Service, Perfect for Family!","I checked-in the hotel recently and stayed at Valley Wing. The overall environment was immaculately clean and well maintained.   The service staff at Valley Wing are absolutely outstanding! I would like to compliment Mr. Kumar from the bell service desk and Mr. Raja from The Valley Wing Lobby Lounge. They are extremely attentive, especially when they saw that we have a a 5-year old child. They had definitely made our stay very memorable and delightful. Kudos to both of them!  The food quality served at Valley Wing Lobby Lounge was very mouth-watering and palatable. However, we were quite disappointed with the buffet dinner at The Line restaurant. The food standard dropped tremendously compare to pre-Covid time. The baked fish literally did not replenish at all throughout the…",50,Jul-22,Undisclosed,1,0,ShangriLa
Sad to write some negativity,"Having stayed at this hotel many times and also many other Shangri La hotels around the world, i was so looking forward to coming back after nearly 3 years of Lock-Downs.  If it was not for my issues i would have given Excellent, but I just did not get that Shangr-La, Buzz i have had and expect every time. How exciting I was to be back at cocktails in the Horizon club, Singapore sling please, er sorry sir we dont do that any more! Your kidding right? thats like going to Ireland and not been able to have a Guinness in a 5 star Dublin hotel. Nibbles how nice will that be, pretty dam average, massive let down from every other time here. 2nd ight came back from a night out with friends thought we would have a drink in the Origin Bar, not many in sat at the bar only to be told in…",30,Jul-22,Undisclosed,97,83,ShangriLa
Good for family with young kids,"- we stayed in Valley view side, the room is big with extra bed; bathroom equipped with all necessary toilettes. The room is clean and housekeeping was good!! - for Dining, have to pre book in advance, as all the restaurants were fully booked when we checked in on Saturday!  - facilities for kids - bud fun play/ splash park/ bake fun … all are well organised with adequate staffs !!",40,Jul-22,Travelled with family,411,66,ShangriLa
Disappointing,"We are currently staying at this hotel as we booked 10 nights stay here.  We chose this hotel because of their great facilities and services during our previous stays before Covid 19.  Unfortunately, we found that the services so far we have now cannot match with the old days..  The Horizon Club is finally reopened just before we come,  however, it doesn’t offer breakfast.  Staff there are not friendly and no warm greetings.  The opening hours only starts from noon.  It has not yet back to full services.  All check in and check out must be done in the lobby but not in the club lounge.    Housekeeping is very disappointed.  Bath towels and toiletries not filled up after make-up.  How can the turn down service doesn’t include cleaning our trash bin??  Are they expecting us to call…",20,Jul-22,Travelled with family,28,77,ShangriLa
A scam experience,"I'd like to share the horrible experience with this Shangri-La Singapore. I stayed there for one week. They obviously get your payment in advance, your security deposit and at the end of they stay they charged whatever they want without a reason. In my case, they charged me with 282 SGD without any explanation. At least 90 minutes on the nobody knows why the charge happen therefore they cannot reserve the charge. At least I made a ""friend"" at the Reservations Team, Mr Troy Chua, but this friend cannot help as his IT system doesn't allow him to see the credit card charges, despite keeping me on the line for more than 20 minutes. This is what I call a scam! Avoid this hotel at all cost. There are many other options in Singapore. The whole experience reminds me of visiting Mainland…",10,Jul-22,Travelled on business,3,0,ShangriLa
Wedding anniversary cum birthday,"Booked a junior suite for my wedding anniversary cum my wife’s birthday, was told to wait for 90mins before we were able to check in. Wasn’t briefed verbally on the horizon club entitlement benefits but nevertheless,the duty front desk manager,Ms Pierre was very understanding towards us and managed to accommodate our requests and in doing so,and I was able to surprise my wife for her birthday w/o any hiccups. Mr Sharmah from the bell desk was also very helpful in assisting us with storing our luggages and was providing us with info for dinner plans and had some part to play with my surprise for my partner. Overall,the start of the staycation wasn’t as expected but other than that,the stay was exemplary and good",40,Jun-22,Travelled as a couple,1,0,ShangriLa
"Immaculately clean, great service, great for family and business.","Fantastic staycation experience. All the staff were very courteous and helpful. When I requested for chocolate cookie, one of the chef went all the way out to find chocolate cookie for my kids. Service manager calista ang at the front desk also wanted to ensure my experience stay was not spoilt and helped me with issues I encountered at the Bud (their indoor playground)  Great place for a stay, immaculately clean, great facilities for business and family trip.",50,Jun-22,Travelled with family,47,49,ShangriLa
Great Staycation,We booked 2 club rooms and thoroughly enjoyed the club lounge and facilities provided. Highly recommended!  The staff were polite and service was attentive. Only gripe was housekeeping can be more attentive to the toiletries. Still a great staycation.,50,Jun-22,Travelled with family,2,0,ShangriLa
Relaxing environment,"We stayed in this hotel recently in our visit to Singapore.  The hotel is located in a very spacious land compared to most hotels in the area. This is bit away from the main shopping area, but makes it up by the relaxing spacious environment provided.  Although there was a line, the checking in was a very pleasant experience. The officer was pleasant and cheerful.  The room was very large compared to most rooms we see around the area. The rooms were clean, and satisfactory.  We used the pool facilities offered by the hotel in our stay. The pool area was also clean and the staff around the area were helpful too.  The breakfast buffet had a large number of options and it was busy too. It took us few minutes to get a table, but it was worth the wait.   The view from our room was…",40,Jun-22,Undisclosed,132,110,ShangriLa
Oversubscribed hotel but with exemplary staff,"Our family of 4 arrived around 15 min past the check-in time of 3pm. Queued for about 5 min and was attended to by the front desk staff. During my short time queuing, Diren came forward to check if I was waiting for check-in and his keen eye noticed that my 2 kids were with me, so he proceeded to present them with 2 bags of stuff which will keep them busy during their stay. Appreciate that proactive thoughtfulness. Why I was a little upset was because the room wasn’t ready, and we only finally got the keys to our room at 4pm, which was one hour after the scheduled check-in time, and yet I was denied late check-out as compensation. Pierre, the duty manager, together with a few staff helped to expedite my situation, all these while apologising even though it wasn’t their fault but…",40,Jun-22,Travelled with family,4,0,ShangriLa
First-class in every aspect,"My previous stay was almost 20 years ago and I was underwhelmed. But, they have improved every aspect since then. The service is all smiles (even behind masks), attentive and professional. The common areas are gorgeous. The rooms are large, spotless, and well maintained. My room included breakfast, and I was amazed. The breakfast buffet offers almost everything you could think of - western, asian, Indian, baked goods, noodle bar, fresh fruits. Everything was great! My balcony room faced the street, but with the windows closed, I didn't hear any road noise. The hotel is walking distance to Orchard Road, but it's a tiny bit of an uphill on the walk back. I can understand why Presidents and Heads of State stay here. It's that good!  I also booked through American Express travel,…",50,May-22,Undisclosed,211,104,ShangriLa
My kiddo fave hotel," It’s back to my kiddo’s fave hotel during the June school vacation. This round we spent 4 nites at the Valley Wing.  Checking in was met with a billing issue but was quickly resolved.  The room while old, has aged gracefully and well kept. The hotel has started to stock up the minibar again but now alcoholic drinks are no longer placed in the minibar nor comes default as part of the room package. The TV was of a passable size but somehow much smaller than that of its other 5 stars counterparts. It will be more convenient for guests if there are electrical sockets at the bedside.  The bathroom was of a good size with separate standing shower and a bathtub. Toiletries were plenty and replenished daily.  At the Valley Wing, you are well fed with afternoon tea and evening canapés.…",50,Jun-22,Travelled with family,745,174,ShangriLa
"Superb location , food and service","Superb superb best service , luxury best feature is the breakfast and the wide variety and range of items . You are spooky for choice . The rooms at the old and new wing are different but tasteful be sure to study and select . Shang palace was nice to have an authentic meal . Very nice location . A true five star",50,Nov-21,Travelled on business,125,83,ShangriLa
Buffet dinner,"The service staff (Esp Ruby) are very attentive and are very polite. Most of the food items are good in particular the desserts. However, the durian dessert was finished much faster than expected. Other than that, the experience was really good",50,Jun-22,Undisclosed,1,0,ShangriLa
Outstanding service from the guest history manager and housekeeping dept.,"To cut long story short, I would like to highlight Ms Calista Ang, the guest history manager as well as Ms Anis and Mr Jonathan from the housekeeping dept for going the extra mile for their guests and their impeccable service to their guests. Thank you v much.  Without a doubt, it is the service that truly makes Shangri la one of the best hotel to stay in. My family and i would definitely be back to stay or patronise the restaurants. Once again, thank you ms Calista, ms Anis and mr Jonathan. Shangri la should be proud to have you as its working staffs. Please keep up the good work!",50,Jun-22,Travelled with family,2,0,ShangriLa
Loved the Hotel,Shangri La is the best best best… My daughter enjoying very much. Ambience is nice! It’s just like home away 🏡! If you are in Singapore please do visit their restaurants!! Delicious food !great services!,50,Jun-22,Travelled with family,25,6,ShangriLa
Horrible,We had a horrible experience. We booked 6 rooms and theh delayed our check in. They said they would give more importnace to locals than non locals  and ended up giving our rooms at 5pm.  The managemnet was very rude and unprofessional. Would not recommend this place!!!,10,May-22,Travelled with family,1,0,ShangriLa
"Best staycation for family, excellent service",Mr Marvin from Valleywing has given exceptional service.  He even extended help to reach to other restaurants within the hotel because we forgot to book our reservation for lunch .    We are very grateful to the staffs of valley wing as it made my little girl’s birthday so special that they even gave a plate of fruits decorated as a birthday  arrangement during our breakfast at the summit room.   It’s our third staycation in Shangri La Orchard because of the great service and great amenities that children enjoy.,50,May-22,Undisclosed,1,0,ShangriLa
Weekend staycation in May,"Just completed a recent weekend stay at Shangri-La Orchard Singapore. This time round, stayed at their valley wing. The package (booked) comes with breakfast, tea break and evening cocktail. Basically all the meals are included in this stay.   There are few personnel that made this stay a pretty wonderful one. Starting from the housekeeping side, Grace Li - very attentive and remembered what was told during the day 1 of the stay. At the restaurant side, Marvin (F&B manager) is always there with a smile which lighten up one’s day. Last but not the least, Kumar who is the bellhop (man) , shows great hospitality during my check out day. A very friendly guy too.   There was a small misunderstanding during the stay but glad that the duty manager, Nora is there to resolve the issue.  …",50,May-22,Travelled with friends,176,105,ShangriLa
Beautiful hotel but surly and standoffish lobby hostess,"The hostess Camille is very unwelcoming and inhospitable. I’m a hotelier who left the industry during MCO after more than a decade in the industry. It is staff like Camille that give a bad name to the industry.   We were a group of 5 people. We did not want to sit in the sun and there was two tables that were in the shade. She said one table had a reservation at 10.45 am but we would have to leave by 10.30am to clear the table. This was 10am.  Another table had no reservation card on it but when I enquired, she said that had a reservation on it to and proceeded to put a card on it. It’s 11.15 now and no guests are sitting on both tables.  Just wanted to share my experience so that no other Shang guests have to.  Writing this from the shop house drinking from takeaway cups. I…",50,May-22,Travelled on business,15,2,ShangriLa
Bell desk staff very helpful,Mr. Sharma has shown exceptional service to me over the years and has helped above and beyond the call of duty. This makes me belive in the high strandard of service that Shangri-la is known for in Singapore.,50,May-22,Travelled solo,3,0,ShangriLa
Edwin,"My wife and grandchild had a wonderful time at Valley Wing during our staycation. From the check in to our check out the various personnel were friendly and very helpful. Wee Cheong, Dana and Marvin services at summit room were excellent. Our grandchild was entertained by Dana, who likes her company. The house keeping just know what we needed and kept us happy with water and coffee capsules. Thank you",50,May-22,Travelled with family,1,0,ShangriLa
Shangri-la Valley Wing is the best hotel in Singapore!😊💕😊🌸,"It’s our third time to visit The Valley Wing of Shangri-la, and I must say that the service, the food, and the experience are truly impeccable! Huge thanks to Zila for always being accommodating, gracious, charming, and friendly. Our requests were promptly responded, and the service was truly commendable. The staff from the Summit Room were also very prompt, accommodating, and knowledgeable as regards the food being served. Kudos to Keith, Fabian, and Marvin for always making sure that we were comfortable during our stay. Over all, we felt really pampered and our anniversary celebration was made memorable by the staff of The Valley Wing, Shangri-la Singapore.  Thank you so much for the wonderful experience!😊💕😊🌸",50,May-22,Travelled with family,66,14,ShangriLa
