Review Title,Review Description,Review Rating,Month of Stay:,Type of Trip:,No. of contributions from reviewer:,No. of helpful votes on review:,Hotels
Great 2-day stay with my family!,"We stayed at a themed family room/suite... our kids loved it!! The hotel gave us - due to early arrival - a very early check-in an a late check-out, which made our journey (and jetlag) much nicer! We loved buds, the new kids club at Shangri-La, perfect!",50,Nov-19,Undisclosed,4,8,ShangriLa
Shangri-La was amazing!,"Had the most amazing stay here! Received the best service from Alex Lee. She was simply the most happy, energetic and personable representative that anyone can wish for. We love The Line buffet. It provided us the best food we could’ve hoped for! Breakfast was already enough to give us the best laksa in Singapore!  We can’t wait to come back to Shangri-La again! Thanks Alex and thank you Shangri-La!",50,Nov-19,Travelled as a couple,1,3,ShangriLa
Luxurious beautiful resort 5 star hotel ,We are here for 6 days 5 nights for a girls trip for one of our friends 50th birthday. Amazing hotel and staff and the breakfast spread is absolutely amazing. The internet not so good in our room. Highly recommended ,50,Nov-19,Travelled with friends,354,49,ShangriLa
Rose Veranda🌹,"I went to Rose Veranda 2 days ago  The day was my friend’s birthday  by the way We were touched to Khemika and Joyce! They were very kind:) they have good sense, bright smile! also  I don’t speak English however chef kaisen kindly explained the food for me thank you for your delicate and  Elizabeth recommend tea  for me so I’ll remember their name  I felt cozy atmosphere in here  Thank you Rose Veranda:)",50,Nov-19,Travelled with friends,1,2,ShangriLa
"Luxurious stay in a ""resort"" in the city","The lovely hotel is perfect with the excellent service from the soul of the hotel - the people!  Naima -Gust History Manager, Zoe of Horizon Lounge, Andreano of Waterfall, Chun Lee of Nami, Ching Yee of Shang Palace...the list goes on. The Resident Manager, Mr Allen Khoo is awesome.  Enjoy the spacious, relaxing and  luxurious ambience. Walk in the gardens. Eat, work and rest well.",50,Nov-19,Travelled on business,23,51,ShangriLa
Gorgeous resort hotel,"This hotel was our final stop on a month long Asian holiday.   Beautiful hotel, gorgeous pool, well equipped and clean gym, excellent service and wonderful rooms.  The concierge staff was outstanding....very knowledgeable, very helpful and very friendly. Thank you for a wonderful 3 day stay.  😀",50,Nov-19,Travelled as a couple,7,13,ShangriLa
Love this hotel,"One of the best hotels in Singapore should keep this secret...:-) Location good, Pool good, restaurants good, gym good, breakfast good, new bar super, spa perfect! I have to write 200 words but nothing more to say!",50,Oct-19,Travelled on business,10,18,ShangriLa
Oasis amoung the buildings ,"A superb hotel that's more like an inner city oasis. Check in was delightful, Jeb was warm, friendly and engaging. The lobby is impressive and grand. Our room with city views was in excellent condition and had lovely decor and facilities. The pool area is more resort chic than inner city business as it's surrounded by lush tropical gardens. Breakfast quality was very good and the resident cat really made me feel happy and like I was at home.   I decided to review as very good rather than excellent fit the following reasons.  1. The bedding in the room is hard and unforgiving, especially for a heavier person, why is so hard to get a plush bed in Asia?   2. I saw no commitment from the hotel to reduce plastic waste. This was seriously very disappointing for me given the huge…",40,Nov-19,Travelled as a couple,5,17,ShangriLa
Truly A Paradise in Singapore,"We stayed three days in the Shangri-La Hotel during our vacation in Singapore. The first day was in the Garden Wing, which is a very nice area within the hotel. The room was excellent with views of the city. The Horizon Club Lounge offers even better views of the city.  The two days that we were in the Valley Wing of Shangri-La were simple elegant and refined! From the hospitality to the attention to detail, everything was wonderful. Each staff member we interacted with not only were professional, they truly made us feel welcome, as though we were family.   Breakfast in the Summit room was simply grand, and both my wife and I felt like royalty. The food is five stars all around, and service is exceptional ( even for a five star rating).  Strolling through the grounds was so…",50,Nov-19,Travelled as a couple,3,6,ShangriLa
Beautiful stay and wonderful staff and facilities ,"4 day break to relax and celebrate. Highly recommend staying in the Valley Wing. 5 star at its best. Personable staff, excellent service, surroundings are so peaceful and tranquil. We tried 4 of hotels restaurants and food and service was spectacular in all of them. We will certainly return. ",50,Nov-19,Travelled as a couple,48,18,ShangriLa
Second visit,"Had to return to this fabulous hotel. Check in superb, we were in the garden wing room 372... fantastic garden with a terrace and pod to relax in! Bar staff great, always served with a smile. Breakfast at the weekend was crazy busy but the food was good. During the week it was much quieter. Will we come back again... oh yes!!",50,Oct-19,Travelled with family,81,76,ShangriLa
Good times at the Shangri La!,"My husband and I had the privilege of staying at the Shangri La last month during our visit to Singapore and enjoyed to the fullest! The hotel had fantastic amenities and the property was in the most lovely neighborhood. Although fairly compact, our room was very nice and we enjoyed a pretty view. And the Horizon Club was the bomb!!! Great food and a comfortable place to relax...Many thanks to Zoe and Elise, who were so nice and helpful! :)",50,Oct-19,Undisclosed,33,51,ShangriLa
So wonderful afternoon tea at Lobby lounge,"2 days ago i went to Shangri-la LOBBY LOUNGE to enjoy my afternoon tea with my old friends.  The lobby lounge atmophere was gorgeous and like the singer there. the song was my favorite.  it was not noisy so very good choice to choose here to have a chat with. We wanted to sit near a nice view so asked staff Wendy about it. She was so polite and guide friendly to the table. and she gave us a big and comfortable table. We could see the whole pool view.  And she also took a nice photo of us. had a lot of fun. Belinda explained us about the afternoon tea component.  There was an Durian dessert, some rollcakes, tart,dumplings,and some local desserts. We asked to refill hot water and Jenelyn readily served it to us again.  We really well rest and refresh ourselves.  The afternoon tea…",50,Nov-19,Travelled with friends,3,6,ShangriLa
Started Badly ending great,"On our trip to Europe we stayed at Shangri La Singapore on the way over for 2 nights and on the way back also 2 nights.  Before leaving Perth I had emailed Shangri-La (and many other hotels) about whether or not they took credit card pre authorisations upon arrival. I was answered back in writing  no they do not. I had pre paid my accommodation.   So we arrived, were greeted beautifully, upgraded to a suite which was fantastic. After being shown to suite i was asked for credit card for pre authorisation. I explained i had asked this and was told no in writing this doesn't happen. Greeter said ok no problems and off she went.   So we go down to pool, have a swim then order a drink. We got drinks then went for another swim. Whilst swimming one of the pool guys said to us you need…",40,Sep-19,Undisclosed,114,63,ShangriLa
Loved this Hotel,"My wife and I stayed here for a 30th anniversary trip and it turned out to be a perfect choice.To us this is the best hotel in Singapore the location being just that little bit out of the hustle and bustle but at the same time with the complimentary shuttle bus to the MRT  everything is very quick to access.There is nothing I can criticise about this place, however the next time we stay which we will definitely endeavour to do we will pay the little bit extra to have a room in the Garden Wing.Top marks to all the staff and management who run this SUPERB hotel",50,Apr-19,Undisclosed,21,45,ShangriLa
Excellent Service!,"I had a fantastic stay at the Garden Wing made special by the hotel‘s professional staff, from arrival and through out the end of our stay. Special mention to Mica at the lobby who was very helpful and friendly as well as the team in The Line during breakfast! Although the restaurant is always busy, staff still makes an effort to acknowledge you, plus, great selection of food offering!",50,Sep-19,Travelled with friends,1,2,ShangriLa
Hotel is great....Club experience is great....just pity about my experience in the swimming pool,"Stayed here 1 1/2 day from 25 th october in the horizon club suite...the room was great...I loved the horizon club...great snacks, drinks and wonderfull service! Always enjoy in the lobby. which is amazing...After a long day, flying from Indonesia I went for a swim at the evening of 25th oktober with my 3 years old son..after 2 minutes I got a warning because my son touched the blue white line...unbelievable...After 6 minutes I got another warning because my son with full protection (under the arms and middle) swam in the deep with me...The people in the yellow red spoke very inpolite to me...better they follow a course how to be polite to the guests...Unbelievable people like that work in the shangri la...better hire some trendy looking people Shangri La!  who talk polite! The…",50,Oct-19,Undisclosed,147,64,ShangriLa
Without a doubt the best Hotel we have stayed in,"The staff were amazing could not do enough for you, very helpful and full of advice. The room was magnificent, the curtains to the windows opened as you entered the room and closed on departure to keep it cool. Drink and food very good but extremely expensive. Would have appreciated an early check in as we arrived early but understand that is not always possible.",50,Oct-19,Undisclosed,166,121,ShangriLa
Excellent,"Fabulous experience at the Shangri-La, couldn’t fault anything! The hotel was beautiful, clean, modern, staff were incredibly helpful and friendly, facilities lovely. Coffee and drinks were very expensive, but it is Singapore after all.",50,Oct-19,Travelled with friends,6,17,ShangriLa
Large room,"Arrived early and had requested very early check in but they would not help us except to offer the fitness room to shower , we did eventually get in 2 hours earlier than there 3 o’clock check in . Can’t fault the stay there , amazing breakfast and close to the shops and easy use of taxis to get around ",40,Oct-19,Travelled as a couple,314,149,ShangriLa
Great Vacation,"This hotel was amazingly beautiful! Long review so bare with me!  The staff worked well with us when we had to change our hotel dates not once but twice! They were patient and understanding which made us feel welcome even before we even arrived.  We booked airport transfer for 150 Singapore dollars and we think it was worth it. The staff met us at our gate, walked us through customs and the airport. The driver took us straight to the hotel. We were so excited because I had a special surprise for my girls and felt this was the perfect place to do it.  When we arrived, there was a gentleman already waiting for us. We booked a garden room which by the way, was amazingly gorgeous. The sound of the waterfall and the gorgeous landscape made me feel like I was in this tropical…",40,Oct-19,Travelled with family,37,53,ShangriLa
Great stay but horrid Pre-stay experience ,"We had another great stay at the Shangri-la hotel over the long weekend and this time round, we booked the Premier Balcony Suite at the Garden Wing, which had a lovely balcony with a Jacuzzi, ample seating area and a BBQ grill that served as a perfect space for our intimate gathering. We had a small celebration for my son’s one year old birthday and the guests whom I’ve invited were very impressed by the room and the hotel. Having stayed at all the 3 different wings at Shangri-la, we always prefer the Garden Wing for its lush greenery, which gives a very relaxing and welcoming vibe of being in an urban oasis. For this stay, we stayed at the crown of the Garden Wing and soaking in the comforts of a private heated Jacuzzi (especially at night) was an unparalleled experience that…",40,Oct-19,Travelled with family,100,211,ShangriLa
Great for kids,Stayed there this weekend with the family.  Beautiful hotel and very kid friendly if that’s your thing.  I needed a HDMI cable which came very quickly to the room and the attentiveness from staff was great! Huge gym with great dining facilities this is a wonderful hotel.  Side note: Club Lounge is excellent with great drinks selection. ,40,Oct-19,Travelled with family,44,64,ShangriLa
Perfect,"From the moment we arrived until The moment we left we were very impressed. The location, service, staff, rooms, grounds,  pool and gym area were all outstanding. The club benefits were beyond our expectations. I would thoroughly recommend to anyone staying in Singapore. ",50,Oct-19,Travelled as a couple,128,112,ShangriLa
Consistently the best,"I had not finished my stay here (I don’t leave for another 24 hours) but I’m posting my review in case I forget and I don’t want to do that because they have earned what follows.  I’ve been staying here at the Valley Wing for many years. It has always been wonderful. I’ve practically lived in  upmarket hotels around the world for the last 30+ years. No where beats the Shangri-La Valley Wing. But when you return anywhere the worry is that standards might have slipped. Not here- let me list the highlights: * wonderful welcome for old friends  * beautiful, beautiful room * everything cleaned and maintained to perfection  * excellent breakfast in stylish surroundings  * relaxing pre dinner drinks prepared and served with grace and style And so on. But above all - the team. Every…",50,Oct-19,Travelled as a couple,138,132,ShangriLa
Outstanding Service & Facilities,Simply cannot have a better experience than at this facility.  From the effusive welcome in the lobby to the incredible housekeeping services with the most comfortable bedding & plenty of high quality soaps etc to the spectacular dining & fabulous pool area.  Whether on business or personal travel - this is the place to be,50,Mar-19,Travelled on business,11,15,ShangriLa
Stopover in Singapore,Beautiful hotel with lots of green in the surrounding areas. Close to Orchard Road and Botanical Gardens. Our flight landed early and they got our room early. Nice and cosy with great views.  A welcome place to come back,50,Oct-19,Travelled as a couple,12,9,ShangriLa
Fabulous hotel,"This hotel is first class. The food, service and rooms are amazing. I stayed here for 4 nights after visiting Dubai and Hong Kong and it was the best hotel. Everything about this place is amazing. We stayed on a B and B basis but ate in the restaurant in the evening. The food was spectacular. The staff go the extra mile to give excellent customer service. All I can say is AMAZING HOTEL.",50,Oct-19,Undisclosed,31,52,ShangriLa
Disappointed,Have stayed at the Shangri La on a number of times and rated it 5 stars and our special place in Singapore. But that was then this is now. The Hotel Foyer has been revamped and as a consequence the hotel has lost its allure. It has a cold impersonal air about it. The staff that were once friendly now seem distant. The Italian Restaurant which we looked forwarded to so much was a flop. Sea Food Marinara was luke warm and noticeable for its lack of sea food. The pasta was undercooked as well which made it difficult to chew. Breakfast was served in the Line and that's what it was. We formed a line and when a table became vacant the race was on to get it. We took turns in guarding our possession and getting our food in competition with quite a large number of fellow guests.…,30,Aug-19,Undisclosed,9,25,ShangriLa
One night stay at garden wing suite ,"Service from the team at Shangri-La surpassed our expectations even before check in. We informed that we were expecting 20-25 guests for our post-wedding party and was recommended the garden wing which came with an open air area including a personal jacuzzi. We received very fast responses and staff was also accommodating to our request for the suite at the highest level. Right till the end, the staff offered to help us with our baggage to the car which was quite some distance away. Good service goes a long way and I'm happy to come back again in future!",50,Oct-19,Travelled with family,16,19,ShangriLa
Family Staycation,"The hotel is very nice, staff are so accommodating and its really family and kid friendly. Will sure book again. Especially Love the tent in room, great playroom. Just sad that outdoor was closed that time.",50,Oct-19,Travelled with family,2,2,ShangriLa
"Hotel staff extremely friend, food is great","Hotel staff extremely friend, food is great. We had a conference there and the staff team was very professional. The entire hotel has a neat, quite, relax environment. Banquet food was great and far beyond my expectations.",50,Oct-19,Travelled on business,1,2,ShangriLa
Superb Staff! ,We absolutely loved the Shangri-La Singapore. Bernard at the pool (who’s been there for over 30 years) was so helpful. John at the Waterfall restaurant is also exceptional! The hotel is well located to explore the city. ,50,Oct-19,Travelled with family,28,64,ShangriLa
Amazing Staff and hotel,I had the pleasure of staying at the Shangri-La hotel for a few weeks. The entire staff is accommodating but the staff at the breakfast buffet were amazing. My first day at the buffet I met Jaya and Moi at the omelette station and asked for a spicy omelette. Each day afterwards I was greeted with a friendly smile and a spicy omelette.  Make sure to stop by the egg station and let Moi and Jaya help start your day off with an omelette and a smile. ,50,Oct-19,Travelled on business,48,59,ShangriLa
"Pleasant stay, with caveats","Overall a pleasant stay, but with so many other luxury options to choose from in Singapore, not my favorite. The nits: I do not expect housekeeping to be superhuman, but the sheer number of stray hairs in the bathroom was off-putting. Children's amenities had to be requested separately despite our informing we were staying with a child. Buds outdoor play/splash area was closed for renovation. This was either not disclosed on the website or we somehow missed it, which is a shame because the kids' area was a major draw for us. For dinner at the Italian restaurant, we asked to be informed if we could move up our reservation, but it was only after noticing empty tables ourselves that we were able to be accommodated earlier.   We did enjoy much of our stay, and appreciated the…",40,Oct-19,Travelled with family,15,25,ShangriLa
Event Support and Stay,The hotel met all our needs for two events we hosted all day during our stay.  The two ladies servicing coffee and breaks were fantastic as was the concierge Johnny who met all our needs.  Great experience.,50,Oct-19,Travelled on business,1,3,ShangriLa
Birthday stay,Stayed one night to attend an award night in the same hotel.   Service was crisp and efficient at check-in. Thanks for the Birthday cake and card in the room.   Room was well appointed and special request respected    ,50,Oct-19,Travelled solo,114,55,ShangriLa
Stunning hotel,"Have been lucky to stay a number of times in the last 15 years at this hotel. The quality of service from the staff is superb,and they are very friendly and helpful. The rooms are large and the pool and fitness centre are excellent. The nightly buffet at the Line restaurant,has so much choice and is a taste experience. The Italian waterfall restaurant was very good.There is very little not to like about this tremendous hotel.look forward to a return visit",50,Oct-19,Undisclosed,17,33,ShangriLa
"All by God's Grace, Thanks Jesus, Thanks Shangri-La, Thanks Ms. Seri and everyone.","I would like to thank to God , Ms. Seri, Manager and everyone at Shangri-La.  Stayed at Garden Wings room and Deluxe Tower Horizon Club room, it is privileged, enjoy the stay at Shangri La, the people are friendly, understand our situation, and it gives you and everyone peaceful mind, satisfaction, enjoyment, so happy stay here. Everyone is happy , met with friends from all the world, USA, Myanmar, Indonesia, conferences. Rate at top very excellent. Recommended for every businessman, corporate leaders and families. Kids happy. Thank you Jesus for all great things. May You bless Ms. Sari, Manager, and Shangri La much more. God bless everyone.",50,Oct-19,Travelled on business,1,3,ShangriLa
Great Hotel,"I have a wonderful stay here, the room are clean and comfortable, bar and restaurant have a great foods and peaceful environment. Overall I like the hotel, facilities, location and customer service from the staff here. Great !",50,Oct-19,Travelled on business,2,6,ShangriLa
Peaceful paradise in bustling Singapore,"A peaceful paradise in the middle of Singapore.  Staff were fantastic from our check-in at the Horizon club through to our departure.  Rooms were a good size, very clean and comfortable.  Pool and fitness centre were fantastic also.  Great bars and restaurants, will be back.",50,Nov-18,Undisclosed,665,239,ShangriLa
A hotel that offers everything ,"Where to start to write a review that actually tells the experience and truth about our stay here?You have to stay here to understand. It’s excellent, that’s the first thing to say!. We stayed at the Valley Wing, and we highly recommend it. That’s a hotel in the hotel , a resort in the city resort. Staying here, you get access to the Club Lounge. To the staff there, I’m so sorry I can’t remember all your names, so my apologies for that. Thanks to Khair, so friendly, kind and professional,thanks to smiley and charming Ulysses( who also got interested in Norway:)) , thanks to Michell with his quiet, charming attitude ,-we will never forget any of you. Today, by out check, we got to know Shinsaku Ono and Jega Nathan; you are both a combination of professionalism , smile and…",50,Oct-19,Travelled as a couple,35,76,ShangriLa
Lovely hotel but just not quite as good as it used to be,"First up:  this has to be the loveliest smelling hotel lobby. I want my house to smell this beautiful. Sell the scent - guests would buy it and be reminded of the hotel.   We stayed in interconnecting rooms, which was fabulous. The Garden Wing is lovely as you have outside walkways around a garden area leading to the rooms. The rooms are well equipped. One day we can hope that the televisions in hotel rooms allow for streaming services, but the big hotels aren’t there yet. Some smaller ones are doing this and it is a great move.   One of our family had a birthday during our stay, and we returned after our day’s exploration of Singapore to a delightful card and delicious chocolate cake. This was much appreciated.   One of our family is coeliac and we had forewarned the hotel when…",40,Oct-19,Travelled with family,200,128,ShangriLa
Stay where Obama stays,"When there is a important event going on in Singapore, chances are that the who’s who will stay here. A few cab drivers said Obama recently stayed here.   An Uber classy 5star hotel just outside the city center so it’s feels very green rather than urban. Yet still everything from Raffels to markets to the gardens is only a $6 cab ride away.  Our family of 5, teenagers mum dad and mother-in-law, all loved this place.  I think the accommodation itself was outstanding and very good value but as is the case with all 5star hotels (particularly in Singapore), the restaurants and drinks poolside etc are very expensive.  If you are careful and selective though you can enjoy a high class  experience on let’s say an above average but not exorbitant budget.  The staff are amazing -…",50,Oct-19,Travelled with family,191,127,ShangriLa
A wunderful place,"We spent a week in the Shangri La Hotel Singapore and were really excited!  We had comfortable rooms with pool view and loved to eat at the Waterfall Restaurant, where we enjoyed quiet breakfast and very good italien dishes for dinner. We also enjoyed and can recommend the High Tea! The massages were outstanding. We will miss it. We won‘t forget the hours at the nice pool and especially the very nice and helpful staff. They were all friendly at any time.",50,Oct-19,Travelled with family,10,20,ShangriLa
Excellent hospitality!,"Everything you need is available at this property. Room is quiet and comfortable, location is good. Breakfast is excellent. Personnel is very helpful. I really recommend this hotel who would like to have quality rest.",50,Oct-19,Travelled on business,1,2,ShangriLa
Best Feast in Town @ The LINE!,"Been to The Line many times last year and just came back for family gathering. The spread was still remain great as before with lots of options including oysters, wagyu and new station, Thai cuisine. Staffs were very friendly from welcoming to farewell. The restaurant manager, Stiefen visited our table and ensure if we all have happy tummy. He also helped us to take a group photo and personally brought us some Indian dishes fresh from the kitchen to our table.  Overall, we will certainly come back for another occasions!",50,Sep-19,Undisclosed,2,5,ShangriLa
Good hospital,"Nice hotel in a very beautiful city. The personnel is very helpful and supportive. The facilities are very well cared and comfortable. I enjoyed my stay. Also, the food is well presented and prepared. I enjoyed the stay.",50,Nov-18,Travelled with family,18,44,ShangriLa
One Of The Best I Have Stayed In,"I recently stayed at the Shangri-La in Singapore and I can definitely say i'll be back! I am so glad I booked the Horizon club. This means you can skip the queue down stairs and head up to the 24th floor to check in. The 24th floor is the Horizon club whereby you can enjoy your breakfast in piece and quiet in the morning as well as have afternoon tea between 2pm and 4pm and the all your alcohol included between 5pm and 8pm. The hotel also has an amazing fully equipped gym with steam room, sauna and plunge pool and the main swimming pool is huge. This is one of the best hotels i have ever stayed in.",50,Oct-19,Undisclosed,3,8,ShangriLa
Superb!,"Despite the size of the Shangri La hotel, it feels quite personal. Terrific breakfast buffet, pool is great (although it closed at 8pm the night we go there - when we would have love a swim), gym is vast with spa and showers (perfect for a night flight having checked out at midday). Rooms are faultless - every amenity needed. Oh, and the location is superb - Orchard and Tanglin. Botanic Gardens just a 15 min walk!",50,Jul-19,Undisclosed,53,57,ShangriLa
"Try the buffet lunch, amazing value","On our trips to Singapore to see family, we usually go for a 'brunch' at one of the big hotels.  They are expensive but very comprehensive usually.  This time we decided to try the buffet lunch at the Shangri-La near Stevens which was a third of the price. It was an excellent occasion in a lovely, open and spacious Rose Balcony restaurant. There was a wide variety of different dishes to choose from and beautiful desserts. Altogether a memorable relaxed family occasion and very good value",50,Oct-19,Undisclosed,3,7,ShangriLa
Execellent hotel,"Thanks for delivering such a great experience every time, very nice time spent in a great ambient, very tidy room and bathroom, excellent swimming pool, excellent breakfast, good overall value, keep it like this!",50,Oct-19,Travelled on business,1,2,ShangriLa
Valley Wing Tranquility,A serene tranquil and high calibre property with staff who will go to great lengths to ensure a memorable stay! A luxe stay you will always remember. Highly recommended and we will return!! Thank You Shangri-La!!,50,Oct-19,Travelled as a couple,1,3,ShangriLa
Fantastic Singapore hotel,"We have just completed another 4 day stay in the Valley Wing of the Shangri la hotel.  You are made to feel special from the moment you arrive, with reception staff and porters coming outside to greet you at your car and welcome you to the hotel.  In our case, after a 6:30 am arrival from Europe, the welcome was even more special when we learned our room was already available!  Even the ""standard"" suites are large and luxuriously appointed and the Valley Wing benefits  - breakfast, high tea, evening canapés and all day bar service - are all first class.  However it is the level friendly and attentive service received fr0m every staff member that really makes a stay at the Valley Wing social.  This continues right to your departure when a whole retinue of staff members come…",50,Oct-19,Undisclosed,42,53,ShangriLa
Great Stay,"We stayed there overnight in the Garden Wing rooms on two occasions in September. The rooms were large and very nice, if a little dated, but very comfortable and well appointed nonetheless. They have usable balconies overlooking the pool and gardens. The pool area is very nice. Lots of lounges and enough with shade. We had dinner at the Italian Restaurant which was also very good. Service at check in / out and poolside was friendly and very helpful - special thanks to Itz.",50,Sep-19,Undisclosed,9,17,ShangriLa
A romantic and pleasant experience,"Checking in was smooth with welcome drink served. Upon check in, the front desk officer sent me to the lift lobby, presented me with a stalk of orchid flower. It was indeed a pleasant experience. I have booked the Garden wing - Deluxe room for celebration of my wedding anniversary. The room is spacious with the view of the swimming pool and garden. We had a wonderful time enjoying the peace and comfort of nature and yet so near to the city. However, there was a glass dining table with 2 chairs that was in the middle of our room which seems a bit out of place.  We had a good stroll in the morning at the garden and enjoyed the nice orchid shelter at the back of the garden. It was a good and wonderful stay-cation experience.",40,Oct-19,Undisclosed,44,50,ShangriLa
Is the Valley Wing worth the extra expense?,"This is the question I now ask myself.    I start by saying my stay in The Valley Wing was an upgrade as I had planned to book a Garden Wing Suite but they didn’t have availability and upgraded me.  So to be fair I got the room at a discount and thank you Shangri La.  The Valley Wing is beautifully presented with extremely friendly staff.  It offers an open bar from 11am till 10:30 and regular snacks.  The area is peaceful and smart, and if that is what you want then the Shangri La is a superb hotel.  But i would have prefered my Garden Wing Balcony Suite with a pool view.  The Valley Wing offers you your own private dinning room for breakfast.  However, you have to dress and its so quiet you can hear a pin drop.  The menu is freshly made but this means you have to know…",30,Oct-19,Travelled with family,104,99,ShangriLa
Amazing hotel ,Can’t say that this is 50 year old hotel. A hotel with great staff. I particularly would like to mention two names Ketki (AFOM) and Sanjay Nautiyal from sales. Amazing leaders and truly guest centric. Keep it up guys. ,50,Sep-19,Travelled with friends,81,21,ShangriLa
The ultimate remarkable family holiday,"We stayed in the Horizon club junior suite. It exceeded all of our expectations, and we had very high expectations after staying in very good hotels in the past. No one as good as this one. The room was absolutely amazing and comfortable, always clean and someone came to check if we need anything every day, the buds for kids was very helpful for us as family with children. The fact that this is also very family oriented was major consideration for us. The friendly staff and the check in process. Even though we arrived early, we were taken immediately to the lounge and were allowed to use all facilities. Didn’t happen to me in any hotel so far where nothing was allowed before room was ready and official check in time. Thank you very much and I am sure we will be back again.",50,Sep-19,Travelled with family,10,21,ShangriLa
Sure thing !,"You can't get it wrong booking the Shangri-La in Singapore, be it for a business trip (short or extended) or a family vacation, you will find superior hospitality and service, a business and a vacation atmosphere in the middle of lush greenery and all a stone throw away from the busy center.",50,Oct-19,Travelled on business,62,114,ShangriLa
Great birthday treat,"We spent some days at the Singapore Shangri-La Hotel early October. The property seemed to be upgraded recently, for it to be the first ever Hotel of the Shangri-La Group it looked very nice and warm. The room was perfect, we had a junior suite and got a great welcome. The check-in already was great, then we frequently used the Horizon Lounge and up there the staff was so friendly and anticipated our needs. Looking forward to the next visit when in Singapore.",50,Oct-19,Travelled with family,27,48,ShangriLa
Great Place to Stay,"After several years of not having stayed in Shangri-la Singapore, it is nice to be back in that hotel thanks to the organizers of the event I participated.  I used to stay in the hotel almost every year some years back. And it is delightful to see that the services have remained as friendly and efficient as ever. I noticed though that the food selection during breakfast has decreased. The airconditioning throughout the hotel, whether in the Valley Wing or main tower is also just too cold for comfort. Perhaps, they should consider putting the thermostat a bit. Not only will that save on energy, it will also make guests more confortable. Likewise, it would be helpful if they make the food bar at the Horizon Club Lounge close a little bit later, say 9 or even 10PM. This would allow…",50,Oct-19,Travelled on business,12,29,ShangriLa
I need Green which is why I alwasy stay at the Singapore Shangri-La,"A spacious room with a very comfy bed! I stayed at other hotels in Singapore, but this property remains my favorite by far! Staff is so discrete and friendly. The breakfast offers so many options. The pool is great with very attentive staff (including pool guards should you bring your little one's). Orchard Road is walking distance.   I will be back!",50,Sep-19,Travelled on business,3,4,ShangriLa
Wonderful stay,"Once again the Shangri La lived up to and beyond expectations for service, friendliness, efficiency and amenities.  The only slight disappointment was to find that the Water Grill no longer served breakfast or coffee in the mornings for those of us in the garden wing or at all. However the hotel generally continues to delight and I hope to return another day.",50,Oct-19,Travelled on business,7,17,ShangriLa
Nice hotel with all amenities and courteous staff,I stayed for 9 days on a business trip. Conveniently located on orchard road (just 0.4 miles) to the shopping area. Staff is very courteous and they take care of special requests for you. Hotel has all amenities in room except microwave. Restaurants are quite good too.,50,Sep-19,Travelled on business,2,4,ShangriLa
Fantastic buffet,One of the finest and best buffets in Singapore for sure. Located near Orchard Road and nestled in a beautiful rain forest it serves a great variety of foods from Asian to Western to Middle Eastern. Go!,40,Sep-19,Travelled with friends,53,80,ShangriLa
Resort Style Hotel With a Factory Feel,"I was attracted by the thought of a green hotel in a garden city. Realistically, bubbling waterfalls, big swimming pools, well kept lawns and a few tennis courts did seem to offer some respite from the hot sticky and busy world outside the hotel gates. We stayed in the Garden wing. We had a beautifully clean room with hardwood floors, opening onto a balcony edged with a sea of bright red flowers. The beds were firm and comfortable. The pillows (so often a weak spot in luxury hotels) were just right.  I can recommend the spa. I had a Thai massage and my daughter had a facial. Ultra relaxing and the spa had a serene and calming atmosphere with very skilled staff.  Breakfast was included and was awesome in it's variety, quality and quantity. I lost count with over eighteen…",40,Aug-19,Undisclosed,199,171,ShangriLa
Consistently excellent for so many years..,"I have been staying at the Shangri La Singapore since 1994....I was a regular there several times a year for business purposes as Singapore was our newly established hub. Now I have retired to NZ and don’t travel for business anymore....I decided that en route to the UK to visit family I would stay at the Shangri La for 3 nights to break up the journey. The incredible high standard of customer service has not changed one bit...The Hotel is impeccable in its manner warmly welcoming you at the door and it is same at reception.Staying in the Tower Wing, The rooms are generously luxurious and will make any long trip less stressful. Superb large pool - really loved being back here and will be again on my return journey in October - Highly recommended. ",40,Sep-19,Travelled with family,172,115,ShangriLa
"Amazing stay !,,","Just had 2 nights here on route home and wow!! Stayed in a valley suite 660,it was truly stunning!!! lounge,bedroom,and bathroom were just beautiful, the staff were incredible and made our wedding anniversary so memorable , we cannot thank you enough 🙏🏻 and will most definitely return in the not too distant future 🤞🤞🌞",50,Sep-19,Undisclosed,37,53,ShangriLa
Vegaterian/Vegan/Gym,"We have tried all the luxury hotels in Singapore. We have found Shangri-La to be the most helpful, most selection and clearly signed for vegan/vegetarian/lacto- vegetarian diets. Indran at the Gym was very helpful by clearly showing where the facilities are. This made  the experience non-threatening as it can be at some gyms.",50,Sep-19,Undisclosed,2,4,ShangriLa
Perfect place to stay,"As the flagship Shangri-La hotel worldwide, SL SG truly delivers the highest SL standard.  Check-in process was smooth and every of my needs from the hotel was taken care of promptly.  Will definately consider staying here in my future trips.",50,Sep-19,Travelled on business,1,2,ShangriLa
Stayed and conducted company meeting ,Our stay with Shangri-La was excellent. The staff were helpful and excited to support.  The rooms were great and conference room was well prepared.  Our stay was for four nights and conducted two meetings in the hotel,50,Sep-19,Travelled on business,5,10,ShangriLa
